"id","var","nums","yvs","pTMEAN","tauTMEAN","pPRCP","tauPRCP","ppH","taupH","pANC","tauANC","pSO4","tauSO4","pNO3","tauNO3","pNH4","tauNH4","ptotN","tautotN"
"ACSAac","ACSA",25,"ac",0.415760034864599,0.142857134342194,0.290872384021633,0.179894164204597,0.0337985970757224,0.341344237327576,0.0619422912597656,0.301587283611298,0.0983412995420653,-0.269841253757477,0.183878021240234,-0.222222208976746,1,0,0.141270691591372,-0.243386223912239
"ACSAkt","ACSA",25,"kt",0.105196746707964,-0.264550238847733,0.219260412249072,-0.206349194049835,0.00281528695905335,-0.469348341226578,0.00457797957850354,-0.444444417953491,0.0566877610612624,0.306878268718719,0.0020360834458295,0.481481432914734,0.731194108123598,0.0687830597162247,0.00970666110515594,0.407407373189926
"ACSAsd","ACSA",25,"sd",0.355083930509906,0.158730149269104,0.193690945970396,0.216931194067001,0.0304516680261126,0.346677750349045,0.0128563700856029,0.391534358263016,0.183878021240234,-0.222222208976746,0.247153150020338,-0.195767179131508,0.273424145517547,0.185185164213181,0.454246458116469,-0.132275119423866
"ACSAsk","ACSA",25,"sk",0.320046030988131,-0.16931214928627,0.30402307598003,-0.174603164196014,0.0062992388480588,-0.432013809680939,0.0339204404650435,-0.33862429857254,0.0920707804136424,0.275132238864899,0.00100752456532116,0.513227462768555,0.247153150020338,0.195767179131508,0.0025512195024334,0.470899432897568
"annamreac","annamre",26,"ac",0.311304301750369,-0.188405811786652,0.293298021753006,-0.195652201771736,0.0505849691252634,-0.34482815861702,0.0529036001314091,-0.340579748153687,0.177995445116745,0.246376842260361,0.021325305711513,0.398550778627396,0.258093246743699,0.210144951939583,0.0302822726896439,0.376811623573303
"annamrekt","annamre",26,"kt",0.19004397922092,0.239130467176437,0.626113776729876,0.10144928842783,4.9591064453125e-05,0.686026573181152,0.000231792417501933,0.623188495635986,9.61812337239583e-05,-0.659420371055603,2.19645372554725e-05,-0.724637746810913,0.00222117145513666,-0.521739184856415,2.59585496855945e-05,-0.71739137172699
"annamresd","annamre",26,"sd",0.0654403778443854,-0.32608699798584,0.506261529985643,-0.130434796214104,2.25717860757868e-06,-0.816698253154755,9.15525374188696e-06,-0.768115997314453,2.59585496855945e-05,0.71739137172699,0,0.797101557254791,0.0116102642759129,0.434782654047012,1.34908706159978e-05,0.746376872062683
"annamresk","annamre",26,"sk",0.922608878620234,0.0289855096489191,0.716573303551983,0.0797101557254791,0.818219708694337,0.0544465519487858,0.771219698441221,0.0652173981070518,0.745682396978702,-0.0724637731909752,0.83743442169017,-0.0507246442139149,0.19004397922092,-0.239130467176437,0.745682396978702,-0.0724637731909752
"annbtbwac","annbtbw",27,"ac",0.331960985553798,0.181159436702728,0.151254536348012,0.260869592428207,0.0843108415058057,0.308530449867249,0.0728529550452933,0.318840622901917,0.293298021753006,-0.195652201771736,0.0586294901782069,-0.333333373069763,0.454246458116469,-0.14492754638195,0.080553672429857,-0.311594247817993
"annbtbwkt","annbtbw",27,"kt",0.716573303551983,0.0797101557254791,0.273424145517547,0.202898576855659,0.0156169082179214,0.41742354631424,0.0239063216881319,0.391304403543472,0.0962186314181824,-0.297101467847824,0.0190025471247636,-0.405797153711319,0.0728529550452933,-0.318840622901917,0.021325305711513,-0.398550778627396
"annbtbwsd","annbtbw",27,"sd",0.83743442169017,0.0507246442139149,0.506261529985643,-0.130434796214104,0.183878021240234,-0.243194594979286,0.204152456144007,-0.231884077191353,0.430161664202497,0.152173936367035,0.238982946732465,0.217391327023506,0.454246458116469,0.14492754638195,0.293298021753006,0.195652201771736
"annbtbwsk","annbtbw",27,"sk",0.537718525083046,0.12318842113018,0.0477925591929463,0.34782612323761,0.144550263412355,0.264973223209381,0.238982946732465,0.217391327023506,0.537718525083046,-0.12318842113018,0.177995445116745,-0.246376842260361,0.151254536348012,-0.260869592428207,0.138690279774457,-0.268115967512131
