"var","ews","tau","pval"
"ACSA","sd",0.391534391534392,0.00368183036670734
"annamre","sd",-0.920289855072464,3.48481207740489e-10
"annbtbw","sd",-0.22463768115942,0.130262238783228
"annbtgw","sd",0.41304347826087,0.00506457562761041
"annlefl","sd",-0.978260869565217,2.51680270826706e-11
"annoven","sd",0.702898550724638,1.69082345001446e-06
"annrevi","sd",-0.434782608695652,0.00316005292304445
"BIOC","sd",0.428571428571429,0.0374974908157198
"BION","sd",-0.538461538461538,0.00859504637602393
"FAGR","sd",0.238095238095238,0.0786913360883301
"lepyear","sd",-0.215686274509804,0.225479297447916
"ws1_flux_Ca","sd",-0.157635467980296,0.23730177865
"ws1_flux_NO3","sd",-0.132307692307692,0.354578447597732
"ws1_volwt_Ca","sd",0.58128078817734,1.04259963869347e-05
"ws1_volwt_NO3","sd",-0.0892307692307692,0.537126940170827
"ws2_flux_Ca","sd",-0.847826086956522,7.49559578404252e-09
"ws2_flux_NO3","sd",-0.239130434782609,0.106899675879221
"ws2_volwt_Ca","sd",0.601449275362319,4.26330474086374e-05
"ws2_volwt_NO3","sd",-0.166666666666667,0.264337332508495
"ws4_flux_Ca","sd",-0.437229437229437,0.00480546408540845
"ws4_flux_NO3","sd",-0.411255411255411,0.00803476531266296
"ws4_volwt_Ca","sd",0.783549783549784,3.86219552334309e-07
"ws4_volwt_NO3","sd",-0.316017316017316,0.0423310378298655
"ws5_flux_Ca","sd",-0.966666666666667,2.24771192604338e-07
"ws5_flux_NO3","sd",0.483333333333333,0.010279478485213
"ws5_volwt_Ca","sd",-0.783333333333333,2.82548739048921e-05
"ws5_volwt_NO3","sd",0.516666666666667,0.00602581135746671
"ws6_flux_Ca","sd",-0.822660098522167,4.19927749054926e-10
"ws6_flux_NO3","sd",-0.783068783068783,5.60373869010707e-09
"ws6_volwt_Ca","sd",-0.931034482758621,1.52948522249273e-12
"ws6_volwt_NO3","sd",-0.835978835978836,4.86793963404558e-10
"ACSA","ar1",0.259259259259259,0.0553164405563531
"annamre","ar1",-0.36231884057971,0.0140635567083528
"annbtbw","ar1",0.355072463768116,0.0161270687117826
"annbtgw","ar1",0.282608695652174,0.0561410637912752
"annlefl","ar1",-0.0289855072463768,0.862155608227145
"annoven","ar1",0.72463768115942,7.97099748400086e-07
"annrevi","ar1",-0.115942028985507,0.441931012011212
"BIOC","ar1",-0.626373626373626,0.00217151028878612
"BION","ar1",0.340659340659341,0.100518173207465
"FAGR","ar1",0.428571428571429,0.00146869168462685
"lepyear","ar1",0.228758169934641,0.197801027037801
"ws1_flux_Ca","ar1",-0.157635467980296,0.23730177865
"ws1_flux_NO3","ar1",0.0523076923076923,0.724339742384923
"ws1_volwt_Ca","ar1",-0.320197044334975,0.0155294734619653
"ws1_volwt_NO3","ar1",0.132307692307692,0.354578447597732
"ws2_flux_Ca","ar1",-0.0072463768115942,0.980210979048544
"ws2_flux_NO3","ar1",-0.5,0.000678300155617099
"ws2_volwt_Ca","ar1",0.449275362318841,0.00228124964050494
"ws2_volwt_NO3","ar1",-0.144927536231884,0.333358243488261
"ws4_flux_Ca","ar1",0.116883116883117,0.463469280237699
"ws4_flux_NO3","ar1",0.428571428571429,0.0057203122482973
"ws4_volwt_Ca","ar1",0.558441558441558,0.00030698294704142
"ws4_volwt_NO3","ar1",0.411255411255411,0.00803476531266296
"ws5_flux_Ca","ar1",0.2,0.300427116749241
"ws5_flux_NO3","ar1",-0.583333333333333,0.00189281948588247
"ws5_volwt_Ca","ar1",0.633333333333333,0.000733640121103708
"ws5_volwt_NO3","ar1",-0.6,0.00139058242765382
"ws6_flux_Ca","ar1",-0.54679802955665,3.39026141736458e-05
"ws6_flux_NO3","ar1",-0.650793650793651,1.29612431969674e-06
"ws6_volwt_Ca","ar1",-0.571428571428571,1.47016079308294e-05
"ws6_volwt_NO3","ar1",-0.486772486772487,0.000299834367149119
"ACSA","sk",-0.211640211640212,0.118579198958194
"annamre","sk",0.0869565217391304,0.568337761553861
"annbtbw","sk",0.268115942028986,0.0701839854914924
"annbtgw","sk",-0.0507246376811594,0.747106327334731
"annlefl","sk",0.333333333333333,0.0239955383536772
"annoven","sk",-0.557971014492754,0.000147599628238425
"annrevi","sk",0.565217391304348,0.00012070863998034
"BIOC","sk",0.032967032967033,0.912814027184075
"BION","sk",0.714285714285714,0.000458888528726883
"FAGR","sk",0.407407407407407,0.00250491168705569
"lepyear","sk",0.620915032679739,0.000370143827994695
"ws1_flux_Ca","sk",-0.472906403940887,0.000339944135693506
"ws1_flux_NO3","sk",-0.0523076923076923,0.724339742384923
"ws1_volwt_Ca","sk",0.231527093596059,0.0810719848166418
"ws1_volwt_NO3","sk",0.723076923076923,2.49971218662375e-07
"ws2_flux_Ca","sk",0,1
"ws2_flux_NO3","sk",0.615942028985507,2.76574142471418e-05
"ws2_volwt_Ca","sk",0.804347826086957,4.21084157986707e-08
