"var_sd","ews_sd","tau_sd","pval_sd","var_ac","ews_ac","tau_ac","pval_ac","var_sk","ews_sk","tau_sk","pval_sk","var_kt","ews_kt","tau_kt","pval_kt","nums"
"ACSA","sd",0.391534391534392,0.00760911609119516,"ACSA","ar1",0.259259259259259,0.0870186488764765,"ACSA","sk",-0.211640211640212,0.159824137726262,"ACSA","kt",-0.232804232804233,0.0983362061021371,24
"annamre","sd",-0.920289855072464,3.01812257310826e-09,"annamre","ar1",-0.36231884057971,0.0272481411224336,"annamre","sk",0.0869565217391304,0.652535948450729,"annamre","kt",0.746376811594203,3.80075232851373e-06,26
"annbtbw","sd",-0.22463768115942,0.155312669318464,"annbtbw","ar1",0.355072463768116,0.0277743961147367,"annbtbw","sk",0.268115942028986,0.103604930963632,"annbtbw","kt",0.384057971014493,0.0124024988100586,27
"annbtgw","sd",0.41304347826087,0.00923540261505427,"annbtgw","ar1",0.282608695652174,0.0870186488764765,"annbtgw","sk",-0.0507246376811594,0.798630901633678,"annbtgw","kt",0.608695652173913,8.19800330608803e-05,28
"annlefl","sd",-0.978260869565217,3.90104419781394e-10,"annlefl","ar1",-0.0289855072463768,0.890894128501384,"annlefl","sk",0.333333333333333,0.0371930844481996,"annlefl","kt",0.0869565217391304,0.568337761553861,29
"annoven","sd",0.702898550724638,5.24155269504482e-06,"annoven","ar1",0.72463768115942,2.00899269552994e-05,"annoven","sk",-0.557971014492754,0.000326827748242228,"annoven","kt",-0.268115942028986,0.0870281420094506,30
"annrevi","sd",-0.434782608695652,0.00699726004388414,"annrevi","ar1",-0.115942028985507,0.507402273049911,"annrevi","sk",0.565217391304348,0.000287843679953119,"annrevi","kt",-0.688405797101449,1.4251974408376e-05,31
"BIOC","sd",0.428571428571429,0.0528373734221507,"BIOC","ar1",-0.626373626373626,0.0054399029888964,"BIOC","sk",0.032967032967033,0.943241161423544,"BIOC","kt",0.230769230769231,0.282680125448907,21
"BION","sd",-0.538461538461538,0.0133223218828371,"BION","ar1",0.340659340659341,0.148383969972924,"BION","sk",0.714285714285714,0.000836796728854905,"BION","kt",0.714285714285714,0.000677406875739685,22
"FAGR","sd",0.238095238095238,0.10164297578076,"FAGR","ar1",0.428571428571429,0.00455294422234324,"FAGR","sk",0.407407407407407,0.00431401457215146,"FAGR","kt",0.645502645502645,9.79637322986607e-06,23
