"timeindex","WaterYear","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
28,1990,0.420948840442851,3675.58627548931,1.10660157249948,5.05970278017356,24.3957797868171,2.37558559122759,4.33775156182928,0.420200629687427
29,1991,0.382952422788221,3691.47488916625,1.10603431149129,5.0110368653989,29.6160311933565,2.61129043842873,3.75619590986498,0.376341712760115
30,1992,0.398378469205967,3472.73465629208,1.49984054208113,5.47015424560259,12.7773617842239,2.51017581847022,3.88146626900012,0.386250630134485
31,1993,0.418363586056145,3498.72091104228,1.47009751161269,5.38210930892511,14.3300787481356,2.39026538955472,4.0953442900244,0.402557359164168
32,1994,0.461489186985312,3616.86598290839,1.34066813769142,5.04004749749729,31.2321429274131,2.16689800801731,4.48081099988267,0.430237105560515
33,1995,0.423277936176247,3613.70283573838,1.35711013656014,5.08176940891148,36.1692839620315,2.36251388162036,4.37730791687784,0.423002299691811
34,1996,0.410822014561179,3636.21984487706,1.40832966847704,5.11800602942619,-2209.02154589168,2.43414414163796,4.13527487976199,0.40552217500902
35,1997,0.437867973621605,3647.13229983372,1.49873523502994,5.65942940478155,-10.1342231793943,2.28379342688391,4.16994157192473,0.408076873181414
36,1998,0.433570411393993,3639.3958984416,1.60359820753785,5.92040735098091,-7.53226458502696,2.30643045217235,4.49245410677236,0.431042484396913
37,1999,0.392601571801457,4053.50816051175,1.38465311505608,4.4701870462971,-27.255567796671,2.54711155488117,3.10018681404095,0.319194914917484
38,2000,0.170702119215488,3979.16687342798,1.57999232425557,5.09548584077558,-10.9337482164777,5.85815808611981,1.84551241814479,0.169720986021413
39,2001,0.185046812360615,3261.67413875614,1.53238586572096,5.4646973244753,-3.68174519468561,5.40403796878826,1.925876507495,0.181791950012262
40,2002,0.132300136098205,3254.25829638881,1.65481367216042,5.78174663436771,-3.18746752703901,7.55857121157991,1.60858805059989,0.131039446665897
41,2003,0.0225693521927598,2994.72088439003,1.55197519346163,5.96088127370539,-2.6572686999284,44.3078734143197,1.07357531340321,0.0192775798861213
42,2004,0.0336802215528079,2970.61002577279,1.60481765510331,6.20808990837221,-2.56311422469598,29.6910160888366,1.13000045777209,0.0332543702654768
43,2005,0.0702314755714271,3063.85182132338,1.50151338694297,5.52679572100007,-2.82622389740307,14.2386300709712,1.26520354053549,0.0642838412885604
44,2006,0.116046462004853,3110.91452817589,1.36062145476789,5.03336886006623,-3.17678815457212,8.6172381537852,1.50639289120034,0.112683589468608
45,2007,0.141663666510375,3152.67273727014,1.22139752245737,4.60502618511458,-3.64736522121049,7.05897302133405,1.6487733442464,0.137960340543831
46,2008,0.166313186907215,3195.02842452219,1.10206873628713,4.24050413073491,-4.17814032891963,6.01275231745691,1.7963237137768,0.162088092869266
47,2009,0.20458291537136,3199.56172853399,1.0960762107369,4.21342555546561,-4.2126856297652,4.88799369284965,2.04568390349686,0.198941813379468
48,2010,0.246323920488687,3309.32211445757,0.906159029799035,3.57723218324481,-5.99697755536803,4.05969504713987,2.27841126718453,0.229736973749003
49,2011,0.295649324508327,3417.63956782809,0.766638001484038,3.10214097324573,-8.72046533023677,3.38238553956796,2.69167572756549,0.277863242987704
50,2012,0.329471051265888,3431.47576334312,0.624222470376009,2.84026155771483,-32.5354728686548,3.03516802510514,3.03217735677392,0.312669832374203
51,2013,0.324931450939105,3436.19138345309,0.512448376293357,2.73350673383872,104.490289346874,3.07757219902794,3.11853296144456,0.320933079189379
52,2014,0.286396110065163,3407.04946407855,0.5091498143526,2.78465964599254,47.1118076446279,3.49166753617035,2.74035184336173,0.283076475581637
53,2015,0.271314597577105,3393.98653904172,0.513348369478681,2.80584825621279,39.4049000796185,3.68575818968166,2.5652119742125,0.263904074164175
54,2016,0.331733938766379,3468.05141150662,0.44547999810928,2.75134894424532,112.406816102553,3.01446395180036,2.94723920001988,0.304332737601133
55,2017,0.358277338593734,3529.55822794341,0.506727055548056,2.67434861847094,-32.2928174807788,2.79113382924267,3.3959456043708,0.346161106390388
56,2018,0.364006940353647,3527.21396428368,0.567144367703917,2.72501881258943,-19.6150053856258,2.74720036664262,3.59596564131012,0.36324419909694
