Year,AMO
1957,0.022166667
1958,0.195166667
1959,0.033416667
1960,0.215666667
1961,0.0795
1962,0.051583333
1963,-0.016583333
1964,-0.117
1965,-0.1815
1966,-0.018083333
1967,-0.120833333
1968,-0.190333333
1969,-0.01425
1970,-0.127166667
1971,-0.336833333
1972,-0.37925
1973,-0.242166667
1974,-0.4475
1975,-0.326166667
1976,-0.391666667
1977,-0.2175
1978,-0.208333333
1979,-0.139333333
1980,-0.047583333
1981,-0.10575
1982,-0.242
1983,-0.100416667
1984,-0.2375
1985,-0.29725
1986,-0.304833333
1987,0.036166667
1988,-0.035583333
1989,-0.1135
1990,-0.069416667
1991,-0.163416667
1992,-0.2505
1993,-0.24225
1994,-0.20875
1995,0.102833333
1996,-0.090166667
1997,0.019333333
1998,0.339666667
1999,0.084916667
2000,-0.004916667
2001,0.085583333
2002,0.031333333
2003,0.197583333
2004,0.172416667
2005,0.25775
2006,0.2325
2007,0.113333333
2008,0.103833333
2009,0.004666667
2010,0.315083333
2011,0.06725
2012,0.178833333
2013,0.131666667
2014,0.066833333
2015,0.078916667
2016,0.3075
2017,0.280416667
2018,0.0335
2019,0.139083333
2020,0.268166667
2021,0.222583333
2022,0.246916667
