date,STA,MAX,MIN,AVE,Flag
6/1/1956,STA1,26,16,21,NA
6/2/1956,STA1,22,14,18,NA
6/3/1956,STA1,19,14,16,NA
6/4/1956,STA1,21,12,16,NA
6/5/1956,STA1,19,9,14,NA
6/6/1956,STA1,21,9,15,NA
6/7/1956,STA1,24,11,18,NA
6/8/1956,STA1,24,6,15,NA
6/9/1956,STA1,7,4,6,NA
6/10/1956,STA1,17,6,12,NA
6/11/1956,STA1,20,6,13,NA
6/12/1956,STA1,29,11,20,NA
6/13/1956,STA1,30,18,24,NA
6/14/1956,STA1,31,18,24,NA
6/15/1956,STA1,31,20,26,NA
6/16/1956,STA1,26,11,18,NA
6/17/1956,STA1,26,10,18,NA
6/18/1956,STA1,16,6,11,NA
6/19/1956,STA1,18,4,11,NA
6/20/1956,STA1,19,6,12,NA
6/21/1956,STA1,13,9,11,NA
6/22/1956,STA1,24,12,18,NA
6/23/1956,STA1,21,10,16,NA
6/24/1956,STA1,13,11,12,NA
6/25/1956,STA1,20,10,15,NA
6/26/1956,STA1,22,8,15,NA
6/27/1956,STA1,16,11,14,NA
6/28/1956,STA1,21,11,16,NA
6/29/1956,STA1,17,9,13,NA
6/30/1956,STA1,19,8,14,NA
7/1/1956,STA1,27,13,20,NA
7/2/1956,STA1,25,17,21,NA
7/3/1956,STA1,25,14,20,NA
7/4/1956,STA1,20,10,15,NA
7/5/1956,STA1,17,9,13,NA
7/6/1956,STA1,11,9,10,NA
7/7/1956,STA1,17,9,13,NA
7/8/1956,STA1,25,12,18,NA
7/9/1956,STA1,19,13,16,NA
7/10/1956,STA1,21,13,17,NA
7/11/1956,STA1,23,13,18,NA
7/12/1956,STA1,23,12,18,NA
7/13/1956,STA1,21,12,16,NA
7/14/1956,STA1,21,12,16,NA
7/15/1956,STA1,22,12,17,NA
7/16/1956,STA1,20,8,14,NA
7/17/1956,STA1,15,8,12,NA
7/18/1956,STA1,20,7,14,NA
7/19/1956,STA1,22,10,16,NA
7/20/1956,STA1,26,12,19,NA
7/21/1956,STA1,18,12,15,NA
7/22/1956,STA1,18,11,14,NA
7/23/1956,STA1,21,15,18,NA
7/24/1956,STA1,24,13,18,NA
7/25/1956,STA1,23,13,18,NA
7/26/1956,STA1,20,10,15,NA
7/27/1956,STA1,20,9,14,NA
7/28/1956,STA1,26,14,20,NA
7/29/1956,STA1,16,7,12,NA
7/30/1956,STA1,17,7,12,NA
7/31/1956,STA1,20,11,16,NA
8/1/1956,STA1,21,11,16,NA
8/2/1956,STA1,19,7,13,NA
8/3/1956,STA1,21,8,14,NA
8/4/1956,STA1,24,11,18,NA
8/5/1956,STA1,26,13,20,NA
8/6/1956,STA1,26,13,20,NA
8/7/1956,STA1,26,13,20,NA
8/8/1956,STA1,26,13,20,NA
8/9/1956,STA1,26,15,20,NA
8/10/1956,STA1,25,15,20,NA
8/11/1956,STA1,23,14,18,NA
8/12/1956,STA1,22,11,16,NA
8/13/1956,STA1,24,10,17,NA
8/14/1956,STA1,23,13,18,NA
8/15/1956,STA1,21,8,14,NA
8/16/1956,STA1,22,7,14,NA
8/17/1956,STA1,28,15,22,NA
8/18/1956,STA1,27,15,21,NA
8/19/1956,STA1,22,10,16,NA
8/20/1956,STA1,20,8,14,NA
8/21/1956,STA1,13,8,10,NA
8/22/1956,STA1,21,7,14,NA
8/23/1956,STA1,17,12,14,NA
8/24/1956,STA1,17,8,12,NA
8/25/1956,STA1,20,7,14,NA
8/26/1956,STA1,19,10,14,NA
8/27/1956,STA1,21,10,16,NA
8/28/1956,STA1,22,14,18,NA
8/29/1956,STA1,19,10,14,NA
8/30/1956,STA1,11,10,10,NA
8/31/1956,STA1,11,10,10,NA
9/1/1956,STA1,16,11,14,NA
9/2/1956,STA1,17,13,15,NA
9/3/1956,STA1,21,11,16,NA
9/4/1956,STA1,21,11,16,NA
9/5/1956,STA1,25,12,18,NA
9/6/1956,STA1,23,14,18,NA
9/7/1956,STA1,15,5,10,NA
9/8/1956,STA1,14,3,8,NA
9/9/1956,STA1,12,3,8,NA
9/10/1956,STA1,14,2,8,NA
9/11/1956,STA1,14,7,10,NA
9/12/1956,STA1,18,10,14,NA
9/13/1956,STA1,21,11,16,NA
9/14/1956,STA1,23,7,15,NA
9/15/1956,STA1,12,5,8,NA
9/16/1956,STA1,5,5,5,NA
9/17/1956,STA1,9,5,7,NA
9/18/1956,STA1,10,2,6,NA
9/19/1956,STA1,12,0,6,NA
9/20/1956,STA1,8,0,4,NA
9/21/1956,STA1,9,-2,4,NA
9/22/1956,STA1,12,2,7,NA
