DATE,watershed,Precip
6/1/1956,W1,0
6/2/1956,W1,0
6/3/1956,W1,53.1
6/4/1956,W1,3.6
6/5/1956,W1,3
6/6/1956,W1,0
6/7/1956,W1,0
6/8/1956,W1,0
6/9/1956,W1,6.1
6/10/1956,W1,2.8
6/11/1956,W1,0
6/12/1956,W1,0
6/13/1956,W1,0
6/14/1956,W1,0
6/15/1956,W1,0
6/16/1956,W1,0
6/17/1956,W1,0
6/18/1956,W1,0
6/19/1956,W1,0
6/20/1956,W1,0
6/21/1956,W1,0
6/22/1956,W1,16.8
6/23/1956,W1,0
6/24/1956,W1,0
6/25/1956,W1,0
6/26/1956,W1,0
6/27/1956,W1,8.9
6/28/1956,W1,0
6/29/1956,W1,0
6/30/1956,W1,0
7/1/1956,W1,0
7/2/1956,W1,0
7/3/1956,W1,0
7/4/1956,W1,0
7/5/1956,W1,7.9
7/6/1956,W1,18.8
7/7/1956,W1,10.7
7/8/1956,W1,61.2
7/9/1956,W1,15.5
7/10/1956,W1,1
7/11/1956,W1,0
7/12/1956,W1,13.5
7/13/1956,W1,39.4
7/14/1956,W1,34.3
7/15/1956,W1,0
7/16/1956,W1,6.6
7/17/1956,W1,0
7/18/1956,W1,0
7/19/1956,W1,0
7/20/1956,W1,0
7/21/1956,W1,3.6
7/22/1956,W1,0
7/23/1956,W1,9.1
7/24/1956,W1,2.8
7/25/1956,W1,4.1
7/26/1956,W1,0
7/27/1956,W1,0
7/28/1956,W1,0
7/29/1956,W1,0
7/30/1956,W1,0
7/31/1956,W1,0
8/1/1956,W1,0
8/2/1956,W1,0
8/3/1956,W1,0
8/4/1956,W1,0
8/5/1956,W1,0
8/6/1956,W1,0
8/7/1956,W1,0
8/8/1956,W1,9.9
8/9/1956,W1,0
8/10/1956,W1,8.6
8/11/1956,W1,2.5
8/12/1956,W1,0
8/13/1956,W1,0
8/14/1956,W1,0
8/15/1956,W1,0
8/16/1956,W1,0
8/17/1956,W1,0
8/18/1956,W1,16.5
8/19/1956,W1,2
8/20/1956,W1,0
