Year,Count,Grid,TreeSpecies,BiomassPer1000
1986,1,A,1,0.453293292
1986,1,A,2,6.22686475
1986,1,B,1,1.394808596
1986,1,B,2,43.59641558
1986,1,C,1,0
1986,1,C,2,19.09028963
1986,1,D,1,5.092615825
1986,1,D,2,0.280117862
1986,2,A,1,1.926413541
1986,2,A,2,12.08671192
1986,2,B,1,0.96876303
1986,2,B,2,1.746063329
1986,2,C,1,0
1986,2,C,2,31.37413465
1986,2,D,1,4.571583948
1986,2,D,2,3.94541995
1986,3,A,1,68.27749199
1986,3,A,2,1.719417916
1986,3,B,1,0.681431281
1986,3,B,2,35.64015895
1986,3,C,1,26.28151882
1986,3,C,2,0.155416945
1986,3,D,1,1.818784373
1986,3,D,2,4.69790537
1986,4,A,1,7.99121538
1986,4,A,2,6.038606714
1986,4,B,1,0.888828099
1986,4,B,2,1.702174184
1986,4,C,1,0.96876303
1986,4,C,2,2.092943005
1986,4,D,1,21.61337534
1986,4,D,2,2.652649913
1987,1,A,1,12.90994679
1987,1,A,2,16.13630518
1987,1,B,1,0
1987,1,B,2,49.63636949
1987,1,C,1,0.072721044
1987,1,C,2,2.698915425
1987,1,D,1,1.746063329
1987,1,D,2,4.173082291
1987,2,A,1,1.746063329
1987,2,A,2,10.18523165
1987,2,B,1,9.209753365
1987,2,B,2,19.12475594
1987,2,C,1,21.7675312
1987,2,C,2,2.427018962
1987,2,D,1,31.74388695
1987,2,D,2,88.51295538
1987,3,A,1,5.545909117
1987,3,A,2,2.825520619
1987,3,B,1,11.02377493
1987,3,B,2,5.320753814
1987,3,C,1,0
1987,3,C,2,0
1987,3,D,1,0
1987,3,D,2,1.746063329
1987,4,A,1,7.859576754
1987,4,A,2,10.71400712
1987,4,B,1,4.379189855
1987,4,B,2,11.29390561
1987,4,C,1,11.93579427
1987,4,C,2,6.159126165
1987,4,D,1,4.090862038
1987,4,D,2,0.706364548
1988,1,A,1,5.09256717
1988,1,A,2,8.237488797
1988,1,B,1,4.413062836
1988,1,B,2,28.51657266
1988,1,C,1,3.77224452
1988,1,C,2,28.27451381
1988,1,D,1,7.118797016
1988,1,D,2,0
1988,2,A,1,9.697314773
1988,2,A,2,63.66880606
1988,2,B,1,1.93752606
1988,2,B,2,24.90009662
1988,2,C,1,1.746063329
1988,2,C,2,9.817712441
1988,2,D,1,0.680955633
1988,2,D,2,41.91522723
1988,3,A,1,31.03766963
1988,3,A,2,19.49209666
1988,3,B,1,24.03589669
1988,3,B,2,95.45951533
1988,3,C,1,31.12261457
1988,3,C,2,6.003880144
1988,3,D,1,46.11977921
1988,3,D,2,15.168426
1988,4,A,1,1.361911267
1988,4,A,2,13.70928622
1988,4,B,1,0
1988,4,B,2,5.91914562
1988,4,C,1,2.825520619
1988,4,C,2,13.01075227
1988,4,D,1,1.746063329
1988,4,D,2,2.980937564
1989,1,A,1,0
1989,1,A,2,0
1989,1,B,1,4.960448492
1989,1,B,2,8.969041153
1989,1,C,1,2.825520619
1989,1,C,2,16.42469276
1989,1,D,1,6.182138138
1989,1,D,2,3.395781992
1989,2,A,1,7.981606022
1989,2,A,2,4.763046679
1989,2,B,1,1.746063329
1989,2,B,2,8.063710606
1989,2,C,1,13.59859196
1989,2,C,2,4.889797237
1989,2,D,1,4.176419922
1989,2,D,2,12.53536805
1989,3,A,1,5.151911223
1989,3,A,2,15.14219878
1989,3,B,1,9.106757595
1989,3,B,2,11.85252863
1989,3,C,1,17.4507437
1989,3,C,2,46.89120478
1989,3,D,1,19.14408382
1989,3,D,2,65.49828926
1989,4,A,1,1.134248925
1989,4,A,2,17.24387599
1989,4,B,1,32.52645093
1989,4,B,2,44.95382336
1989,4,C,1,57.76184188
1989,4,C,2,16.3352721
1989,4,D,1,20.06979743
1989,4,D,2,43.56312875
1990,1,A,1,0
1990,1,A,2,3.845012472
1990,1,B,1,0
1990,1,B,2,11.29780394
1990,1,C,1,0
1990,1,C,2,1.818784373
1990,1,D,1,0.072721044
1990,1,D,2,6.414703377
1990,2,A,1,0
1990,2,A,2,0.96876303
1990,2,B,1,10.25953742
1990,2,B,2,2.199356621
1990,2,C,1,5.388799528
1990,2,C,2,0.995770531
1990,2,D,1,1.321601936
1990,2,D,2,4.571583948
1990,3,A,1,6.092893167
1990,3,A,2,5.092615825
1990,3,B,1,4.534973189
1990,3,B,2,10.18633595
1990,3,C,1,1.746063329
1990,3,C,2,0
1990,3,D,1,5.092615825
1990,3,D,2,30.50026974
1990,4,A,1,1.422056322
1990,4,A,2,3.849075284
1990,4,B,1,0
1990,4,B,2,5.02487724
1990,4,C,1,11.60935958
1990,4,C,2,9.024243937
1990,4,D,1,0.680955633
1990,4,D,2,8.845513541
1991,1,A,1,1.321601936
1991,1,A,2,5.78913759
1991,1,B,1,22.04154365
1991,1,B,2,5.889619593
1991,1,C,1,14.05188525
1991,1,C,2,8.801226059
1991,1,D,1,18.63700165
1991,1,D,2,9.093399527
1991,2,A,1,55.14129459
1991,2,A,2,46.254848
1991,2,B,1,11.33641066
