WaterYear,flow_mm,volwt_Ca,volwt_Mg,volwt_K,volwt_Na,volwt_Al_Ferron,volwt_TMAl,volwt_OMAl,volwt_Al_ICP,volwt_NH4,volwt_SO4,volwt_NO3,volwt_Cl,volwt_PO4,volwt_DOC,volwt_TDN,volwt_DON,volwt_DIC,volwt_SiO2,volwt_Mn,volwt_Fe,volwt_F,volwt_H,volwt_pH,volwt_SpecCond,volwt_ANC
1963,647.931,1.83,0.4,0.31,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,442.821,1.48,0.37,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,680.996,1.62,0.41,0.22,0.85,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1966,757.971,1.63,0.4,0.23,0.79,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0285,4.55,27.13,-888.888
1967,870.252,1.67,0.43,0.27,0.88,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0181,4.74,28.34,-888.888
1968,852.497,1.66,0.4,0.32,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.026,4.58,26.46,-888.888
1969,834.632,2.17,0.46,0.27,0.85,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0277,4.56,32.63,-888.888
1970,730.811,2.03,0.43,0.24,0.78,-888.888,-888.888,-888.888,-888.88,0.034,6.87,4.168,0.64,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0189,4.72,33.33,-888.888
1971,684.296,1.87,0.39,0.25,0.76,-888.888,-888.888,-888.888,-888.88,0.011,6.96,3.016,0.54,-888.888,-888.88,-888.88,-888.88,-888.88,4.36,-888.88,-888.88,-888.88,0.0217,4.66,32.18,-888.888
1972,952.916,1.8,0.34,0.25,0.75,-888.888,-888.888,-888.888,-888.88,0.02,7.04,2.618,0.55,0,-888.88,-888.88,-888.88,-888.88,4.31,-888.88,-888.88,-888.88,0.0208,4.68,31.37,-888.888
1973,1335.332,1.83,0.36,0.24,0.65,-888.888,-888.888,-888.888,-888.88,0.032,6.59,3.639,0.44,0,-888.88,-888.88,-888.88,-888.88,3.81,-888.88,-888.88,-888.88,0.0177,4.75,31.89,-888.888
1974,760.748,1.83,0.38,0.31,0.7,-888.888,-888.888,-888.888,-888.88,0.022,6.68,3.692,0.58,0.001,-888.88,-888.88,-888.88,-888.88,4.05,-888.88,-888.88,-888.88,0.0131,4.88,30.41,-888.888
1975,1188.641,1.72,0.34,0.21,0.67,-888.888,-888.888,-888.888,-888.88,0.016,6.53,3.587,0.43,0.001,-888.88,-888.88,-888.88,-888.88,4.13,-888.88,-888.88,-888.88,0.0138,4.86,29.26,-888.888
1976,867.627,1.61,0.32,0.25,0.67,-888.888,-888.888,-888.888,-888.88,0.01,5.65,3.74,0.43,0.001,-888.88,-888.88,-888.88,-888.88,4.18,-888.88,-888.88,-888.88,0.0134,4.87,31.44,-888.888
1977,950.127,1.45,0.28,0.24,0.63,-888.888,-888.888,-888.888,-888.88,0.01,6.25,1.579,0.41,0.004,-888.88,-888.88,-888.88,-888.88,4.06,-888.88,-888.88,-888.88,0.013,4.89,26.32,-888.888
1978,814.881,1.35,0.28,0.26,0.68,-888.888,-888.888,-888.888,-888.88,0.011,6.04,1.692,0.57,0.002,-888.88,-888.88,-888.88,-888.88,3.69,-888.88,-888.88,-888.88,0.0152,4.82,26.05,-888.888
1979,713.724,1.48,0.3,0.32,0.75,-888.888,-888.888,-888.888,-888.88,0.018,5.85,2.769,0.61,0.003,-888.88,-888.88,-888.88,-888.88,4.15,-888.88,-888.88,-888.88,0.015,4.82,27.78,-888.888
1980,752.7,1.45,0.32,0.29,0.84,-888.888,-888.888,-888.888,-888.88,0.02,6.23,2.485,0.79,0.002,-888.88,-888.88,-888.88,-888.88,4.29,-888.88,-888.88,-888.88,0.0171,4.77,28.76,-888.888
1981,1071.614,1.26,0.26,0.18,0.68,-888.888,-888.888,-888.888,-888.88,0.02,6.08,1.17,0.45,0.002,-888.88,-888.88,-888.88,-888.88,4.18,-888.88,-888.88,-888.88,0.0152,4.82,24.63,-888.888
1982,807.463,1.18,0.25,0.19,0.73,-888.888,-888.888,-888.888,-888.88,0.015,6.03,0.981,0.48,0.002,-888.88,-888.88,-888.88,-888.88,4.21,-888.88,-888.88,-888.88,0.0131,4.88,23.66,-888.888
1983,1006.116,1.07,0.22,0.19,0.68,-888.888,-888.888,-888.888,-888.88,0.013,5.53,0.263,0.47,0.004,-888.88,-888.88,-888.88,-888.88,3.9,-888.88,-888.88,-888.88,0.0122,4.91,21.87,-888.888
1984,648.224,1.08,0.24,0.2,0.75,-888.888,-888.888,-888.888,-888.88,0.018,5.59,0.929,0.52,0.004,-888.88,-888.88,-888.88,-888.88,4.11,-888.88,-888.88,-888.88,0.0142,4.85,22.61,-888.888
1985,881.529,1.03,0.23,0.2,0.66,-888.888,-888.888,-888.888,-888.88,0.02,5.31,0.707,0.4,0.006,-888.88,-888.88,-888.88,-888.88,3.78,-888.88,-888.88,-888.88,0.0136,4.87,21.6,-888.888
1986,754.047,1.04,0.24,0.14,0.73,-888.888,-888.888,-888.888,-888.88,0.024,5.28,0.888,0.37,0.005,-888.88,-888.88,-888.88,-888.88,4.1,-888.88,-888.88,-888.88,0.0101,4.99,21.32,-888.888
1987,707.237,1.05,0.26,0.18,0.79,-888.888,-888.888,-888.888,-888.88,0.021,5.32,0.74,0.48,0.008,-888.88,-888.88,-888.88,-888.88,4.12,-888.88,-888.88,-888.88,0.0138,4.86,21.81,-888.888
1988,625.967,1.11,0.28,0.22,0.86,-888.888,-888.888,-888.888,-888.88,0.02,5.48,1.328,0.58,0,-888.88,-888.88,-888.88,-888.88,3.97,-888.88,-888.88,-888.88,0.0159,4.8,22.09,-888.888
1989,966.496,1.13,0.26,0.19,0.82,-888.888,-888.888,-888.888,-888.88,0.022,5.26,1.947,0.5,0.003,-888.88,-888.88,-888.88,-888.88,4.1,-888.88,-888.88,-888.88,0.0172,4.76,21.6,-888.888
1990,1053.914,1.08,0.25,0.13,0.69,-888.888,-888.888,-888.888,-888.88,0.024,5.13,1.51,0.42,0.007,-888.88,-888.88,-888.88,-888.88,3.94,-888.88,-888.88,-888.88,0.0151,4.82,20.23,-888.888
1991,794.62,1,0.24,0.14,0.66,-888.888,-888.888,-888.888,-888.88,0.026,5.27,0.649,0.4,0.002,-888.88,-888.88,-888.88,-888.88,3.9,-888.88,-888.88,-888.88,0.014,4.85,17.9,-888.888
1992,825.462,0.91,0.21,0.13,0.66,-888.888,-888.888,-888.888,-888.88,0.035,5.06,0.427,0.41,0,-888.88,-888.88,-888.88,-888.88,3.85,-888.88,-888.88,-888.88,0.0153,4.82,17.21,-888.888
1993,791.223,0.89,0.21,0.15,0.71,-888.888,-888.888,-888.888,-888.88,0.016,5.1,0.275,0.54,0,-888.88,-888.88,-888.88,-888.88,3.8,-888.88,-888.88,-888.88,0.0139,4.86,16.52,-888.888
1994,579.287,0.97,0.23,0.14,0.85,-888.888,-888.888,-888.888,-888.88,0.015,5.07,0.765,0.51,0,-888.88,-888.88,-888.88,-888.88,4.33,-888.88,-888.88,-888.88,0.0129,4.89,17.98,-888.888
