"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux"
1963,711.222,15024.2935,2567.33145,1894.73695,5705.51965,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,498.336,6951.94885,1844.2457,903.53895,4344.67105,1054.228975,-888.88,-888.88,-888.88,270.079425,-888.88,32552.52575,6449.817225,3001.704625,-888.88,-888.88,-888.88,-888.88,-888.88,20520.3355,-888.88,-888.88,-888.88
1965,797.187,14471.48165,2932.9466,1551.19855,6956.78705,1782.0021,-888.88,-888.88,-888.88,1090.23165,-888.88,54367.6732,7557.521,4344.14195,-888.88,-888.88,-888.88,-888.88,-888.88,32736.9136,-888.88,-888.88,-888.88
1966,1198.116,77147.71915,16132.81395,23331.80685,17909.28055,18276.78655,-888.88,-888.88,-888.88,896.7482,301.552522508782,46158.0007,460281.977525,10605.64755,-888.88,-888.88,-888.88,-888.88,-888.88,66538.92925,-888.88,-888.88,-888.88
1967,1232.386,93116.69175,18593.616,36664.32615,18910.918,24624.75505,-888.88,-888.88,-888.88,689.91,439.175507491118,45586.2341,652821.66,9219.2911,-888.88,-888.88,-888.88,-888.88,-888.88,69483.6945,-888.88,-888.88,-888.88
1968,1159.447,69400.92595,13552.5867,33350.94865,13003.8694,20715.565825,-888.88,-888.88,-888.88,600.673375,427.772542110175,49736.909,468799.8675,7426.194175,-888.88,-888.88,-888.88,-888.88,-888.88,59218.55325,-888.88,-888.88,-888.88
1969,1103.221,68710.1947,12313.74685,30795.4156,11794.64095,-888.88,-888.88,-888.88,-888.88,654.2333,379.356124433517,49396.4182,414723.8225,5416.196125,-888.88,-888.88,-888.88,-888.88,-888.88,66873.822,-888.88,-888.88,-888.88
1970,985.842,39593.1364,7286.3137,15544.28155,8802.9939,-888.88,-888.88,-888.88,-888.88,319.622325,240.521886404772,65166.33415,184105.7,4668.7188,-888.88,-888.88,-888.88,-888.88,-888.88,62020.062,-888.88,-888.88,-888.88
1971,831.045,18203.2837,3387.32725,5873.65825,6290.68835,-888.88,-888.88,-888.88,-888.88,94.94955,112.092045445745,66190.1985,22527.37185,2331.90205,-888.88,-888.88,-888.88,-888.88,-888.88,50902.3099,-888.88,-888.88,-888.88
1972,1072.145,19639.348,3174.68255,5130.7909,7704.80535,-888.88,-888.88,-888.88,-888.88,224.8677,122.87489193389,82815.68,3282.85475,3692.645,20.5325,-888.88,-888.88,-888.88,-888.88,67482.773,-888.88,-888.88,-888.88
