"WaterYear","precip_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux"
1964,976,3088.87,1196.49,1380.91,2247.675,-888.88,-888.88,-888.88,-888.88,2045.7775,746.8384,30390.04,6877.465,19938.025,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1965,1280.3,2637.01,626.7,588.36,1904.62,-888.88,-888.88,-888.88,-888.88,2679.9625,891.1997,42671.635,17865.13,20970.72,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1966,1380,2107.27,392.73,617.06,1234.95,-888.88,-888.88,-888.88,-888.88,2388.95,1094.2829,42107.72,19809.945,17925.795,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1967,1471.1,2832.03,900.47,1031.85,2224.37,-888.88,-888.88,-888.88,-888.88,3074.75,1080.6565,45969.46,23585.4,5467.76,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1968,1349.8,1640.29,434.86,686.555,1380.8,-888.88,-888.88,-888.88,-888.88,3301.24,938.3725,34064.245,16790.995,5546.155,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1969,1359.5,2162.36,446.51,786.09,1759.51,-888.88,-888.88,-888.88,-888.88,3181.33,994.4059,31460.395,18385.065,4715.94,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1970,1329.8,1930.63,560.72,1185.67,1384.96,-888.88,-888.88,-888.88,-888.88,4608.98,1287.7232,41650.08,25668.615,5287.455,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1971,1281.3,1238.21,414.64,348.59,1386.19,-888.88,-888.88,-888.88,-888.88,2879.71,919.0452,33959.3,22056.61,5094.3,-888.88,0,-888.88,0,-888.88,-888.88,-888.88,-888.88
1972,1564.7,1145.91,514.24,549.46,1498.34,-888.88,-888.88,-888.88,-888.88,2309.65,1061.5589,39675.7,22657.4,6525.85,195.46,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1973,1888.4,1963.18,408.78,712.84,1403.34,-888.88,-888.88,-888.88,-888.88,3587.21,1180.0818,51825.55,30006.89,4174.14,135.7,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
