"WaterYear","TMEAN","PRCP"
1958,4.11506849315068,1041.9
1959,6,1629.7
1960,4.80821917808219,1137.3
1961,5.6986301369863,1049.7
1962,4.72328767123288,1274.1
1963,5.43715846994535,1166.7
1964,4.5013698630137,938.7
1965,4.52328767123288,1220.7
1966,4.83835616438356,1278.1
1967,5.2568306010929,1393.6
1968,5.85753424657534,1270.7
1969,4.72054794520548,1294.1
1970,5.58904109589041,1225.6
1971,5.7103825136612,1221.8
1972,5.23835616438356,1504.6
1973,5.29041095890411,1831.5
1974,5.71232876712329,1242
1975,5.42896174863388,1657.8
1976,4.76986301369863,1323.8
1977,4.75342465753425,1431.5
1978,5.22465753424658,1285.9
1979,5.69945355191257,1138.4
1980,4.65479452054795,1260.6
1981,4.26027397260274,1531.3
1982,5.85753424657534,1328.2
1983,5.84426229508197,1522.4
1984,5.75616438356164,1087.3
1985,5.67397260273973,1310.8
1986,5.0958904109589,1209.8
1987,5.51639344262295,1190.3
1988,5.44383561643836,1149.7
1989,5.61917808219178,1469.4
1990,6.73698630136986,1589.9
1991,5.50273224043716,1354
1992,4.58630136986301,1331.2
1993,4.37808219178082,1317
1994,6.01917808219178,1090.4
1995,5.02185792349727,1677.8
1996,5.09041095890411,1518.1
1997,6.74520547945205,1225.2
1998,6.33424657534247,1398.8
1999,6.65027322404372,1562
2000,5.37260273972603,1094.5
2001,7.10958904109589,1214.9
2002,4.95342465753425,1135.8
2003,5.80327868852459,1610.3
2004,5.28767123287671,1383.3
2005,6.76164383561644,1694.6
2006,6.18356164383562,1463.6
2007,6.2568306010929,1541.7
2008,6.08767123287671,1575.6
2009,7.08767123287671,1474.4
2010,5.24931506849315,1624.9
2011,7.83606557377049,1578.8
2012,7.54520547945206,1396.6
2013,5.7013698630137,1383.4
2014,6.13698630136986,1292.5
2015,7.80874316939891,1512.9
2016,7.28630136986301,1448.8
2017,7.02328767123288,1595.2
2018,5.9,1917.7
2019,6.50068306010929,1541
