"Xyear","totbird","year"
"X1969",12,1969
"X1970",26,1970
"X1971",29,1971
"X1972",29,1972
"X1973",26,1973
"X1974",22,1974
"X1975",39,1975
"X1976",42,1976
"X1977",44,1977
"X1978",32.5,1978
"X1979",36,1979
"X1980",34.5,1980
"X1981",22,1981
"X1982",32,1982
"X1983",30,1983
"X1984",14,1984
"X1985",27,1985
"X1986",13,1986
"X1987",11,1987
"X1988",13.5,1988
"X1989",5.5,1989
"X1990",18.5,1990
"X1991",14,1991
"X1992",19,1992
"X1993",13,1993
"X1994",7.5,1994
"X1995",2,1995
"X1996",10.5,1996
"X1997",10.5,1997
"X1998",10,1998
"X1999",9.5,1999
"X2000",7.5,2000
"X2001",4,2001
"X2002",2,2002
"X2003",7,2003
"X2004",2,2004
"X2005",1,2005
"X2006",2,2006
"X2007",2,2007
"X2008",3,2008
"X2009",0.5,2009
"X2010",0,2010
"X2011",0,2011
"X2012",2,2012
"X2013",0,2013
"X2014",0,2014
"X2015",0,2015
