"Xyear","totbird","year"
"X1969",4,1969
"X1970",8,1970
"X1971",11,1971
"X1972",9,1972
"X1973",11,1973
"X1974",11,1974
"X1975",12,1975
"X1976",11,1976
"X1977",12,1977
"X1978",10.5,1978
"X1979",14.5,1979
"X1980",8,1980
"X1981",12,1981
"X1982",14,1982
"X1983",13.5,1983
"X1984",9.5,1984
"X1985",8.5,1985
"X1986",10.5,1986
"X1987",11.5,1987
"X1988",9,1988
"X1989",15,1989
"X1990",16,1990
"X1991",13.5,1991
"X1992",15,1992
"X1993",11,1993
"X1994",7,1994
"X1995",10,1995
"X1996",5.5,1996
"X1997",8.5,1997
"X1998",8.5,1998
"X1999",11,1999
"X2000",10.5,2000
"X2001",9,2001
"X2002",9,2002
"X2003",7.5,2003
"X2004",6,2004
"X2005",8,2005
"X2006",10,2006
"X2007",10.5,2007
"X2008",5,2008
"X2009",6.5,2009
"X2010",7.5,2010
"X2011",5,2011
"X2012",10,2012
"X2013",8,2013
"X2014",10,2014
"X2015",5.5,2015
