"Xyear","totbird","year"
"X1969",26,1969
"X1970",28,1970
"X1971",43,1971
"X1972",49.5,1972
"X1973",57,1973
"X1974",26,1974
"X1975",30,1975
"X1976",28,1976
"X1977",34,1977
"X1978",22,1978
"X1979",22,1979
"X1980",15,1980
"X1981",1,1981
"X1982",0,1982
"X1983",0,1983
"X1984",0,1984
"X1985",0,1985
"X1986",0,1986
"X1987",0,1987
"X1988",6,1988
"X1989",0,1989
"X1990",0,1990
"X1991",1.5,1991
"X1992",1,1992
"X1993",0,1993
"X1994",0,1994
"X1995",0,1995
"X1996",0,1996
"X1997",0,1997
"X1998",0,1998
"X1999",0,1999
"X2000",0,2000
"X2001",0,2001
"X2002",0,2002
"X2003",0,2003
"X2004",0,2004
"X2005",0,2005
"X2006",0,2006
"X2007",0,2007
"X2008",0,2008
"X2009",0,2009
"X2010",0,2010
"X2011",0,2011
"X2012",0,2012
"X2013",0,2013
"X2014",0,2014
"X2015",0,2015
