"Xyear","totbird","year"
"X1969",6,1969
"X1970",6,1970
"X1971",9,1971
"X1972",9,1972
"X1973",11,1973
"X1974",10,1974
"X1975",18,1975
"X1976",18.5,1976
"X1977",9,1977
"X1978",13,1978
"X1979",12,1979
"X1980",10,1980
"X1981",10,1981
"X1982",11,1982
"X1983",13.5,1983
"X1984",11,1984
"X1985",10,1985
"X1986",16,1986
"X1987",15.5,1987
"X1988",21.5,1988
"X1989",16,1989
"X1990",20,1990
"X1991",17.5,1991
"X1992",15.5,1992
"X1993",13.5,1993
"X1994",9,1994
"X1995",11,1995
"X1996",12,1996
"X1997",10.5,1997
"X1998",9,1998
"X1999",4,1999
"X2000",7.5,2000
"X2001",7,2001
"X2002",7.5,2002
"X2003",8,2003
"X2004",8,2004
"X2005",15.5,2005
"X2006",15,2006
"X2007",20,2007
"X2008",21,2008
"X2009",21.5,2009
"X2010",17,2010
"X2011",18,2011
"X2012",12.5,2012
"X2013",12,2013
"X2014",12.5,2014
"X2015",12.5,2015
