"WaterYear","flow_mm","volwt_Ca","volwt_Mg","volwt_K","volwt_Na","volwt_Al_Ferron","volwt_TMAl","volwt_OMAl","volwt_Al_ICP","volwt_NH4","volwt_SO4","volwt_NO3","volwt_Cl","volwt_PO4","volwt_DOC","volwt_TDN","volwt_DON","volwt_DIC","volwt_SiO2","volwt_Mn","volwt_Fe","volwt_F","volwt_H","volwt_pH","volwt_SpecCond","volwt_ANC","ws"
1988,686.1,1.37,0.37,0.51,0.76,NA,NA,NA,-888.88,0.025,5.64,0.114,0.41,0.002,-888.88,-888.88,-888.88,-888.88,5.04,-888.88,-888.88,-888.88,0.0041,5.39,18.93,NA,5
1989,1065.691,1.32,0.31,0.43,0.75,NA,NA,NA,-888.88,0.023,5.51,0.052,0.35,0.008,-888.88,-888.88,-888.88,-888.88,5.3,-888.88,-888.88,-888.88,0.0041,5.38,16.82,NA,5
1990,1137.966,1.32,0.3,0.35,0.66,NA,NA,NA,-888.88,0.03,5.12,0.086,0.35,0.008,-888.88,-888.88,-888.88,-888.88,5.16,-888.88,-888.88,-888.88,0.0046,5.34,16.3,NA,5
1991,900.719,1.33,0.32,0.34,0.68,NA,NA,NA,-888.88,0.026,5.19,0.091,0.33,0.004,-888.88,-888.88,-888.88,-888.88,5.05,-888.88,-888.88,-888.88,0.004,5.4,15.64,NA,5
1992,907.613,1.22,0.3,0.34,0.67,NA,NA,NA,-888.88,0.036,4.84,0.035,0.33,0.004,-888.88,-888.88,-888.88,-888.88,4.86,-888.88,-888.88,-888.88,0.005,5.3,15.18,NA,5
1993,897.903,1.25,0.29,0.33,0.69,NA,NA,NA,-888.88,0.017,5.06,0.017,0.41,0,-888.88,-888.88,-888.88,-888.88,4.87,-888.88,-888.88,-888.88,0.004,5.39,14.68,NA,5
1994,627.197,1.3,0.32,0.33,0.79,NA,NA,NA,-888.88,0.016,5.12,0.011,0.41,0.001,-888.88,-888.88,-888.88,-888.88,5.48,-888.88,-888.88,-888.88,0.003,5.53,15.2,NA,5
1995,1372.857,1.13,0.27,0.35,0.73,NA,NA,NA,-888.88,0.012,4.85,0.022,0.55,0,-888.88,-888.88,-888.88,-888.88,4.97,-888.88,-888.88,-888.88,0.0047,5.33,15.05,1.4,5
1996,1214.197,1.08,0.26,0.33,0.67,NA,NA,NA,-888.88,0.012,4.42,0.064,0.43,0,-888.88,-888.88,-888.88,0.53,4.58,-888.88,-888.88,-888.88,0.0048,5.31,14.17,1.44,5
1997,742.051,1.12,0.28,0.32,0.7,NA,NA,NA,-888.88,0.015,4.46,0.078,0.35,0.001,2.72,-888.88,-888.88,0.53,5.11,-888.88,-888.88,-888.88,0.0034,5.47,14.25,4.67,5
1998,970.041,1.15,0.27,0.29,0.71,NA,NA,NA,-888.88,0.01,4.43,0.149,0.37,0.001,2.28,-888.88,-888.88,0.47,5.36,-888.88,-888.88,-888.88,0.0036,5.45,13.93,4.01,5
1999,1121.904,1.07,0.26,0.32,0.68,NA,NA,NA,-888.88,0.01,4.42,0.105,0.43,0,2.04,-888.88,-888.88,0.49,5.1,-888.88,-888.88,-888.88,0.0044,5.36,14.22,2.99,5
2000,671.941,1.04,0.27,0.28,0.71,NA,NA,NA,-888.88,0.01,4.46,0.058,0.34,0,-888.88,-888.88,-888.88,0.52,5.35,-888.88,-888.88,-888.88,0.0037,5.44,14.11,1.41,5
2001,768.023,1.07,0.27,0.27,0.73,NA,NA,NA,-888.88,0.01,4.73,0.031,0.43,0.001,-888.88,-888.88,-888.88,0.51,5.15,-888.88,-888.88,-888.88,0.0044,5.35,14.86,-0.57,5
2002,617.41,1.07,0.28,0.26,0.77,NA,NA,NA,-888.88,0.01,4.78,0.102,0.43,0,-888.88,-888.88,-888.88,0.5,5.33,-888.88,-888.88,-888.88,0.0041,5.38,14.83,5.01,5
2003,1191.644,0.97,0.24,0.2,0.71,NA,NA,NA,-888.88,0.01,4.3,0.1,0.45,0,-888.88,-888.88,-888.88,0.48,5.26,-888.88,-888.88,-888.88,0.0051,5.29,13.99,-0.55,5
2004,906.147,0.92,0.24,0.22,0.72,NA,NA,NA,-888.88,0.01,4.21,0.048,0.41,0,-888.88,-888.88,-888.88,0.52,5.02,-888.88,-888.88,-888.88,0.0041,5.38,12.97,3.24,5
2005,1230.424,0.88,0.22,0.23,0.7,NA,NA,NA,-888.88,0.01,4.06,0.041,0.4,0,-888.88,-888.88,-888.88,0.48,4.9,-888.88,-888.88,-888.88,0.0041,5.39,12.78,2.71,5
2006,995.827,0.85,0.22,0.22,0.66,NA,NA,NA,-888.88,0.01,3.86,0.166,0.37,0,-888.88,-888.88,-888.88,0.46,4.83,-888.88,-888.88,-888.88,0.0042,5.37,12.67,6.17,5
2007,1037.065,0.84,0.23,0.2,0.66,NA,NA,NA,-888.88,0.01,3.87,0.104,0.32,0,-888.88,-888.88,-888.88,0.48,4.98,-888.88,-888.88,-888.88,0.0042,5.38,12.38,1.38,5
2008,1064.043,0.79,0.21,0.15,0.64,NA,NA,NA,-888.88,0.01,3.67,0.073,0.28,0,-888.88,-888.88,-888.88,0.53,5.25,-888.88,-888.88,-888.88,0.0039,5.41,11.96,4.43,5
2009,1085.229,0.76,0.2,0.15,0.63,NA,NA,NA,-888.88,0.01,3.43,0.032,0.29,0,-888.88,-888.88,-888.88,0.42,5.22,-888.88,-888.88,-888.88,0.0035,5.46,11.54,2.59,5
2010,1156.299,0.72,0.19,0.18,0.61,NA,NA,NA,-888.88,0.01,3.27,0.041,0.34,0,-888.88,-888.88,-888.88,0.43,4.75,-888.88,-888.88,-888.88,0.0046,5.33,11.42,2.03,5
2011,1043.502,0.71,0.19,0.15,0.64,NA,0.07,0.035,-888.88,0.01,3.22,0.055,0.29,0,-888.88,-888.88,-888.88,0.39,5.31,-888.88,-888.88,-888.88,0.0039,5.4,10.83,1.11,5
2012,990.642,0.72,0.2,0.16,0.75,NA,0.061,0.032,-888.88,0.008,3.32,0.103,0.36,0.001,-888.88,-888.88,-888.88,0.49,5.55,-888.88,-888.88,-888.88,0.0028,5.55,11.34,5.93,5
2013,889.051,0.71,0.2,0.21,0.74,NA,0.07,0.032,0.1,0.002,3.06,0.275,0.33,0,2.03,0.13,0.08,0.48,5.28,0.01,0,0.03,0.0027,5.57,10.39,5.94,5
