"WaterYear","volwt_pH","ANC","precip_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","totN"
1964,4.12,-87.4464533140768,976,3088.87,1196.49,1380.91,2247.675,NA,NA,NA,NA,2045.7775,746.8384,30390.04,6877.465,19938.025,NA,0,NA,0,NA,NA,NA,NA,8923.2425
1965,4.16,-106.238843935787,1280.3,2637.01,626.7,588.36,1904.62,NA,NA,NA,NA,2679.9625,891.1997,42671.635,17865.13,20970.72,NA,0,NA,0,NA,NA,NA,NA,20545.0925
1966,4.1,-100.142318045854,1380,2107.27,392.73,617.06,1234.95,NA,NA,NA,NA,2388.95,1094.2829,42107.72,19809.945,17925.795,NA,0,NA,0,NA,NA,NA,NA,22198.895
1967,4.13,-69.3425620892114,1471.1,2832.03,900.47,1031.85,2224.37,NA,NA,NA,NA,3074.75,1080.6565,45969.46,23585.4,5467.76,NA,0,NA,0,NA,NA,NA,NA,26660.15
1968,4.16,-57.5921324311115,1349.8,1640.29,434.86,686.555,1380.8,NA,NA,NA,NA,3301.24,938.3725,34064.245,16790.995,5546.155,NA,0,NA,0,NA,NA,NA,NA,20092.235
1969,4.14,-50.354884208001,1359.5,2162.36,446.51,786.09,1759.51,NA,NA,NA,NA,3181.33,994.4059,31460.395,18385.065,4715.94,NA,0,NA,0,NA,NA,NA,NA,21566.395
1970,4.01,-72.5509613933933,1329.8,1930.63,560.72,1185.67,1384.96,NA,NA,NA,NA,4608.98,1287.7232,41650.08,25668.615,5287.455,NA,0,NA,0,NA,NA,NA,NA,30277.595
1971,4.14,-69.9411122332673,1281.3,1238.21,414.64,348.59,1386.19,NA,NA,NA,NA,2879.71,919.0452,33959.3,22056.61,5094.3,NA,0,NA,0,NA,NA,NA,NA,24936.32
1972,4.17,-69.8058484481829,1564.7,1145.91,514.24,549.46,1498.34,NA,NA,NA,NA,2309.65,1061.5589,39675.7,22657.4,6525.85,195.46,NA,NA,NA,NA,NA,NA,NA,24967.05
1973,4.2,-68.4764709411757,1888.4,1963.18,408.78,712.84,1403.34,NA,NA,NA,NA,3587.21,1180.0818,51825.55,30006.89,4174.14,135.7,NA,NA,NA,NA,NA,NA,NA,33594.1
1974,4.22,-66.8588564273989,1307.6,1072.44,341.3,505.18,1671.22,NA,NA,NA,NA,2212.11,788.5603,32852.9,20372.31,4922.22,67.16,NA,NA,NA,736.81,NA,NA,NA,22584.42
1975,4.26,-56.1937127560074,1769.4,1007.87,263.19,422.71,894.04,NA,NA,NA,NA,2150.34,973.3457,37521.5,21725.31,3243.59,116.18,NA,NA,NA,1000.65,NA,NA,NA,23875.65
1976,4.23,-64.6912372617821,1401.6,1068.85,266.31,458.47,893.54,315.33,NA,NA,NA,2293.3,822.4295,30267.06,23883.93,4801.68,169.44,NA,NA,NA,1008.63,NA,NA,NA,26177.23
1977,4.23,-58.7232503663007,1532.4,950.54,404.01,374.43,1627,107.24,NA,NA,NA,1662.31,899.8139,32132.75,20625.55,4687.57,105.41,NA,NA,NA,1367.85,NA,NA,NA,22287.86
1978,4.17,-70.0689077070537,1361.9,853.1,352.47,291.3,1532.09,255.62,NA,NA,NA,2223.625,929.5458,34458.6,22800.03,4344.12,220.58,NA,NA,NA,777.8,NA,NA,NA,25023.655
1979,4.21,-60.8703529360063,1193.7,1027.15,325.96,643.06,1303.97,312.97,NA,NA,NA,2067.76,730.2599,27052.46,19998.76,3305.29,224.96,NA,NA,NA,657.1,NA,NA,NA,22066.52
1980,4.22,-58.2443673401605,1355.2,1432.73,480.17,765.66,2287.8,203.3,NA,NA,NA,2893.65,812.2427,32640.9,22865.33,4172.45,226.37,NA,NA,NA,731.5,NA,NA,NA,25758.98
1981,4.31,-52.3200339599992,1585.3,1081.04,289.02,644.96,659.86,187.38,NA,NA,NA,2799.31,781.2561,33569.6,21826.13,1661.82,256.16,NA,NA,NA,901.25,NA,NA,NA,24625.44
1982,4.3,-49.9714585177976,1410,884.34,268.99,583.68,1182.86,54.89,NA,NA,NA,2652.94,710.371,29582.5,17909.25,2208.17,266.29,NA,NA,NA,707.97,NA,NA,NA,20562.19
1983,4.45,-33.1941247000806,1637.7,983.38,270.095,810.43,961.3,198.535,NA,NA,NA,1549.54,575.3124,21137,15907.71,2072.65,276.4,NA,NA,NA,967,NA,NA,NA,17457.25
1984,4.27,-54.9841642057518,1200.1,1030.06,269.86,529.53,817.46,190.93,NA,NA,NA,2499.24,650.8752,25266.18,20669.52,1823.43,179.87,NA,NA,NA,727.95,NA,NA,NA,23168.76
1985,4.35,-47.1493210081745,1424.8,1448.195,366.07,725.13,733.15,172.02,NA,NA,NA,2572.53,631.3872,27393.5,20481.87,1854.91,250.08,NA,NA,NA,1284.3,NA,NA,NA,23054.4
1986,4.31,-50.9727410780166,1310.6,621.11,234.57,357.35,710.54,167.25,NA,NA,NA,2240.13,644.8018,26268.74,17124.7,1835.73,211.31,NA,NA,NA,1021.175,NA,NA,NA,19364.83
1987,4.29,-49.0569032251937,1290.4,1161.78,367.05,847.64,1297.98,NA,NA,NA,NA,3123.31,660.3711,25875.5,21012.835,2890.06,610.87,NA,NA,NA,1036.7,NA,NA,NA,24136.145
1988,4.28,-48.1860189095438,1234.2,1167.655,333.4,489.21,1086.89,NA,NA,NA,NA,3357.06,653.5294,25431.2,19860.265,2250.655,1877.11,NA,NA,NA,960.86,NA,NA,NA,23217.325
