"var","li","bandyears","winyears","ktau","bandwith","window"
"BIOC","sd",1,"6",0.266666666666667,0.0384615384615385,0.230769230769231
"BIOC","sd",6,"6",0.495238095238095,0.230769230769231,0.230769230769231
"BIOC","sd",11,"6",0.380952380952381,0.423076923076923,0.230769230769231
"BIOC","sd",16,"6",0.352380952380952,0.615384615384615,0.230769230769231
"BIOC","sd",21,"6",0.304761904761905,0.807692307692308,0.230769230769231
"BIOC","sd",26,"6",0.257142857142857,1,0.230769230769231
"BIOC","ac",1,"6",0.2,0.0384615384615385,0.230769230769231
"BIOC","ac",6,"6",-0.238095238095238,0.230769230769231,0.230769230769231
"BIOC","ac",11,"6",-0.428571428571429,0.423076923076923,0.230769230769231
"BIOC","ac",16,"6",-0.419047619047619,0.615384615384615,0.230769230769231
"BIOC","ac",21,"6",-0.447619047619048,0.807692307692308,0.230769230769231
"BIOC","ac",26,"6",-0.447619047619048,1,0.230769230769231
"BIOC","sk",1,"6",0.0285714285714286,0.0384615384615385,0.230769230769231
"BIOC","sk",6,"6",-0.180952380952381,0.230769230769231,0.230769230769231
"BIOC","sk",11,"6",-0.0761904761904762,0.423076923076923,0.230769230769231
"BIOC","sk",16,"6",-0.00952380952380952,0.615384615384615,0.230769230769231
"BIOC","sk",21,"6",-0.0857142857142857,0.807692307692308,0.230769230769231
"BIOC","sk",26,"6",-0.0571428571428571,1,0.230769230769231
"BIOC","kt",1,"6",-0.0857142857142857,0.0384615384615385,0.230769230769231
"BIOC","kt",6,"6",-0.361904761904762,0.230769230769231,0.230769230769231
"BIOC","kt",11,"6",-0.20952380952381,0.423076923076923,0.230769230769231
"BIOC","kt",16,"6",-0.0285714285714286,0.615384615384615,0.230769230769231
"BIOC","kt",21,"6",0.104761904761905,0.807692307692308,0.230769230769231
"BIOC","kt",26,"6",0.0857142857142857,1,0.230769230769231
"BIOC","sd",1,"11",0.416666666666667,0.0384615384615385,0.423076923076923
"BIOC","sd",6,"11",0.516666666666667,0.230769230769231,0.423076923076923
"BIOC","sd",11,"11",0.333333333333333,0.423076923076923,0.423076923076923
"BIOC","sd",16,"11",0.316666666666667,0.615384615384615,0.423076923076923
"BIOC","sd",21,"11",0.316666666666667,0.807692307692308,0.423076923076923
"BIOC","sd",26,"11",0.283333333333333,1,0.423076923076923
"BIOC","ac",1,"11",0.0666666666666667,0.0384615384615385,0.423076923076923
"BIOC","ac",6,"11",-0.45,0.230769230769231,0.423076923076923
"BIOC","ac",11,"11",-0.633333333333333,0.423076923076923,0.423076923076923
"BIOC","ac",16,"11",-0.683333333333333,0.615384615384615,0.423076923076923
"BIOC","ac",21,"11",-0.683333333333333,0.807692307692308,0.423076923076923
"BIOC","ac",26,"11",-0.65,1,0.423076923076923
"BIOC","sk",1,"11",0.133333333333333,0.0384615384615385,0.423076923076923
"BIOC","sk",6,"11",-0.233333333333333,0.230769230769231,0.423076923076923
"BIOC","sk",11,"11",-0.0333333333333333,0.423076923076923,0.423076923076923
"BIOC","sk",16,"11",0.15,0.615384615384615,0.423076923076923
"BIOC","sk",21,"11",0.233333333333333,0.807692307692308,0.423076923076923
"BIOC","sk",26,"11",0.283333333333333,1,0.423076923076923
"BIOC","kt",1,"11",-0.0166666666666667,0.0384615384615385,0.423076923076923
"BIOC","kt",6,"11",-0.0833333333333333,0.230769230769231,0.423076923076923
"BIOC","kt",11,"11",0.25,0.423076923076923,0.423076923076923
"BIOC","kt",16,"11",0.266666666666667,0.615384615384615,0.423076923076923
"BIOC","kt",21,"11",0.316666666666667,0.807692307692308,0.423076923076923
"BIOC","kt",26,"11",0.4,1,0.423076923076923
"BIOC","sd",1,"16",0.636363636363636,0.0384615384615385,0.615384615384615
"BIOC","sd",6,"16",0.818181818181818,0.230769230769231,0.615384615384615
"BIOC","sd",11,"16",0.527272727272727,0.423076923076923,0.615384615384615
"BIOC","sd",16,"16",0.345454545454545,0.615384615384615,0.615384615384615
"BIOC","sd",21,"16",0.309090909090909,0.807692307692308,0.615384615384615
"BIOC","sd",26,"16",0.345454545454545,1,0.615384615384615
"BIOC","ac",1,"16",-0.0909090909090909,0.0384615384615385,0.615384615384615
"BIOC","ac",6,"16",-0.672727272727273,0.230769230769231,0.615384615384615
"BIOC","ac",11,"16",-0.854545454545454,0.423076923076923,0.615384615384615
"BIOC","ac",16,"16",-0.745454545454545,0.615384615384615,0.615384615384615
"BIOC","ac",21,"16",-0.672727272727273,0.807692307692308,0.615384615384615
"BIOC","ac",26,"16",-0.6,1,0.615384615384615
"BIOC","sk",1,"16",-0.127272727272727,0.0384615384615385,0.615384615384615
"BIOC","sk",6,"16",-0.272727272727273,0.230769230769231,0.615384615384615
"BIOC","sk",11,"16",0.0545454545454545,0.423076923076923,0.615384615384615
"BIOC","sk",16,"16",0.163636363636364,0.615384615384615,0.615384615384615
"BIOC","sk",21,"16",0.345454545454545,0.807692307692308,0.615384615384615
"BIOC","sk",26,"16",0.381818181818182,1,0.615384615384615
"BIOC","kt",1,"16",-0.127272727272727,0.0384615384615385,0.615384615384615
"BIOC","kt",6,"16",-0.490909090909091,0.230769230769231,0.615384615384615
"BIOC","kt",11,"16",0.127272727272727,0.423076923076923,0.615384615384615
"BIOC","kt",16,"16",0.236363636363636,0.615384615384615,0.615384615384615
"BIOC","kt",21,"16",0.163636363636364,0.807692307692308,0.615384615384615
"BIOC","kt",26,"16",0.236363636363636,1,0.615384615384615
