"var","li","bandyears","winyears","ktau","bandwith","window"
"annamre","sd",2,"11",-0.663663663663664,0.0425531914893617,0.234042553191489
"annamre","sd",7,"11",-0.855855855855856,0.148936170212766,0.234042553191489
"annamre","sd",12,"11",-0.894894894894895,0.25531914893617,0.234042553191489
"annamre","sd",17,"11",-0.903903903903904,0.361702127659574,0.234042553191489
"annamre","sd",22,"11",-0.888888888888889,0.468085106382979,0.234042553191489
"annamre","sd",27,"11",-0.876876876876877,0.574468085106383,0.234042553191489
"annamre","sd",32,"11",-0.864864864864865,0.680851063829787,0.234042553191489
"annamre","sd",37,"11",-0.858858858858859,0.787234042553192,0.234042553191489
"annamre","sd",42,"11",-0.852852852852853,0.893617021276596,0.234042553191489
"annamre","sd",47,"11",-0.828828828828829,1,0.234042553191489
"annamre","ac",2,"11",0.0840840840840841,0.0425531914893617,0.234042553191489
"annamre","ac",7,"11",0.045045045045045,0.148936170212766,0.234042553191489
"annamre","ac",12,"11",-0.0990990990990991,0.25531914893617,0.234042553191489
"annamre","ac",17,"11",-0.189189189189189,0.361702127659574,0.234042553191489
"annamre","ac",22,"11",-0.267267267267267,0.468085106382979,0.234042553191489
"annamre","ac",27,"11",-0.318318318318318,0.574468085106383,0.234042553191489
"annamre","ac",32,"11",-0.363363363363363,0.680851063829787,0.234042553191489
"annamre","ac",37,"11",-0.375375375375375,0.787234042553192,0.234042553191489
"annamre","ac",42,"11",-0.375375375375375,0.893617021276596,0.234042553191489
"annamre","ac",47,"11",-0.348348348348348,1,0.234042553191489
"annamre","sk",2,"11",0.561561561561562,0.0425531914893617,0.234042553191489
"annamre","sk",7,"11",0.312312312312312,0.148936170212766,0.234042553191489
"annamre","sk",12,"11",0.249249249249249,0.25531914893617,0.234042553191489
"annamre","sk",17,"11",0.231231231231231,0.361702127659574,0.234042553191489
"annamre","sk",22,"11",0.225225225225225,0.468085106382979,0.234042553191489
"annamre","sk",27,"11",0.231231231231231,0.574468085106383,0.234042553191489
"annamre","sk",32,"11",0.252252252252252,0.680851063829787,0.234042553191489
"annamre","sk",37,"11",0.264264264264264,0.787234042553192,0.234042553191489
"annamre","sk",42,"11",0.288288288288288,0.893617021276596,0.234042553191489
"annamre","sk",47,"11",0.315315315315315,1,0.234042553191489
"annamre","kt",2,"11",0.531531531531532,0.0425531914893617,0.234042553191489
"annamre","kt",7,"11",0.273273273273273,0.148936170212766,0.234042553191489
"annamre","kt",12,"11",0.237237237237237,0.25531914893617,0.234042553191489
"annamre","kt",17,"11",0.261261261261261,0.361702127659574,0.234042553191489
"annamre","kt",22,"11",0.27027027027027,0.468085106382979,0.234042553191489
"annamre","kt",27,"11",0.282282282282282,0.574468085106383,0.234042553191489
"annamre","kt",32,"11",0.294294294294294,0.680851063829787,0.234042553191489
"annamre","kt",37,"11",0.297297297297297,0.787234042553192,0.234042553191489
"annamre","kt",42,"11",0.279279279279279,0.893617021276596,0.234042553191489
"annamre","kt",47,"11",0.258258258258258,1,0.234042553191489
"annamre","sd",2,"16",-0.778225806451613,0.0425531914893617,0.340425531914894
"annamre","sd",7,"16",-0.915322580645161,0.148936170212766,0.340425531914894
"annamre","sd",12,"16",-0.923387096774194,0.25531914893617,0.340425531914894
"annamre","sd",17,"16",-0.915322580645161,0.361702127659574,0.340425531914894
"annamre","sd",22,"16",-0.907258064516129,0.468085106382979,0.340425531914894
"annamre","sd",27,"16",-0.903225806451613,0.574468085106383,0.340425531914894
"annamre","sd",32,"16",-0.895161290322581,0.680851063829787,0.340425531914894
"annamre","sd",37,"16",-0.862903225806452,0.787234042553192,0.340425531914894
"annamre","sd",42,"16",-0.854838709677419,0.893617021276596,0.340425531914894
"annamre","sd",47,"16",-0.838709677419355,1,0.340425531914894
"annamre","ac",2,"16",0.274193548387097,0.0425531914893617,0.340425531914894
"annamre","ac",7,"16",0.25,0.148936170212766,0.340425531914894
"annamre","ac",12,"16",0.0766129032258065,0.25531914893617,0.340425531914894
"annamre","ac",17,"16",-0.149193548387097,0.361702127659574,0.340425531914894
"annamre","ac",22,"16",-0.237903225806452,0.468085106382979,0.340425531914894
"annamre","ac",27,"16",-0.274193548387097,0.574468085106383,0.340425531914894
"annamre","ac",32,"16",-0.310483870967742,0.680851063829787,0.340425531914894
"annamre","ac",37,"16",-0.282258064516129,0.787234042553192,0.340425531914894
"annamre","ac",42,"16",-0.245967741935484,0.893617021276596,0.340425531914894
"annamre","ac",47,"16",-0.205645161290323,1,0.340425531914894
"annamre","sk",2,"16",0.407258064516129,0.0425531914893617,0.340425531914894
"annamre","sk",7,"16",0.0362903225806452,0.148936170212766,0.340425531914894
"annamre","sk",12,"16",-0.0806451612903226,0.25531914893617,0.340425531914894
"annamre","sk",17,"16",-0.104838709677419,0.361702127659574,0.340425531914894
"annamre","sk",22,"16",-0.0443548387096774,0.468085106382979,0.340425531914894
"annamre","sk",27,"16",0.0161290322580645,0.574468085106383,0.340425531914894
"annamre","sk",32,"16",0.100806451612903,0.680851063829787,0.340425531914894
"annamre","sk",37,"16",0.181451612903226,0.787234042553192,0.340425531914894
"annamre","sk",42,"16",0.30241935483871,0.893617021276596,0.340425531914894
"annamre","sk",47,"16",0.431451612903226,1,0.340425531914894
"annamre","kt",2,"16",0.766129032258065,0.0425531914893617,0.340425531914894
"annamre","kt",7,"16",0.512096774193548,0.148936170212766,0.340425531914894
"annamre","kt",12,"16",0.387096774193548,0.25531914893617,0.340425531914894
"annamre","kt",17,"16",0.346774193548387,0.361702127659574,0.340425531914894
"annamre","kt",22,"16",0.370967741935484,0.468085106382979,0.340425531914894
