"var","li","bandyears","winyears","ktau","bandwith","window"
"lepyear","sd",1,"8",-0.0646153846153846,0.0303030303030303,0.242424242424242
"lepyear","sd",6,"8",-0.0153846153846154,0.181818181818182,0.242424242424242
"lepyear","sd",11,"8",-0.107692307692308,0.333333333333333,0.242424242424242
"lepyear","sd",16,"8",-0.150769230769231,0.484848484848485,0.242424242424242
"lepyear","sd",21,"8",-0.156923076923077,0.636363636363636,0.242424242424242
"lepyear","sd",26,"8",-0.113846153846154,0.787878787878788,0.242424242424242
"lepyear","sd",31,"8",-0.101538461538462,0.939393939393939,0.242424242424242
"lepyear","ac",1,"8",-0.12,0.0303030303030303,0.242424242424242
"lepyear","ac",6,"8",0.267692307692308,0.181818181818182,0.242424242424242
"lepyear","ac",11,"8",0.329230769230769,0.333333333333333,0.242424242424242
"lepyear","ac",16,"8",0.212307692307692,0.484848484848485,0.242424242424242
"lepyear","ac",21,"8",0.181538461538462,0.636363636363636,0.242424242424242
"lepyear","ac",26,"8",0.212307692307692,0.787878787878788,0.242424242424242
"lepyear","ac",31,"8",0.224615384615385,0.939393939393939,0.242424242424242
"lepyear","sk",1,"8",0.378461538461538,0.0303030303030303,0.242424242424242
"lepyear","sk",6,"8",0.243076923076923,0.181818181818182,0.242424242424242
"lepyear","sk",11,"8",0.163076923076923,0.333333333333333,0.242424242424242
"lepyear","sk",16,"8",0.193846153846154,0.484848484848485,0.242424242424242
"lepyear","sk",21,"8",0.224615384615385,0.636363636363636,0.242424242424242
"lepyear","sk",26,"8",0.230769230769231,0.787878787878788,0.242424242424242
"lepyear","sk",31,"8",0.230769230769231,0.939393939393939,0.242424242424242
"lepyear","kt",1,"8",0.323076923076923,0.0303030303030303,0.242424242424242
"lepyear","kt",6,"8",0.292307692307692,0.181818181818182,0.242424242424242
"lepyear","kt",11,"8",0.163076923076923,0.333333333333333,0.242424242424242
"lepyear","kt",16,"8",0.187692307692308,0.484848484848485,0.242424242424242
"lepyear","kt",21,"8",0.187692307692308,0.636363636363636,0.242424242424242
"lepyear","kt",26,"8",0.175384615384615,0.787878787878788,0.242424242424242
"lepyear","kt",31,"8",0.175384615384615,0.939393939393939,0.242424242424242
"lepyear","sd",1,"13",0.0761904761904762,0.0303030303030303,0.393939393939394
"lepyear","sd",6,"13",0.123809523809524,0.181818181818182,0.393939393939394
"lepyear","sd",11,"13",0.0666666666666667,0.333333333333333,0.393939393939394
"lepyear","sd",16,"13",-0.0285714285714286,0.484848484848485,0.393939393939394
"lepyear","sd",21,"13",-0.0380952380952381,0.636363636363636,0.393939393939394
"lepyear","sd",26,"13",-0.0476190476190476,0.787878787878788,0.393939393939394
"lepyear","sd",31,"13",-0.0380952380952381,0.939393939393939,0.393939393939394
"lepyear","ac",1,"13",0.019047619047619,0.0303030303030303,0.393939393939394
"lepyear","ac",6,"13",0.20952380952381,0.181818181818182,0.393939393939394
"lepyear","ac",11,"13",0.171428571428571,0.333333333333333,0.393939393939394
"lepyear","ac",16,"13",0.0666666666666667,0.484848484848485,0.393939393939394
"lepyear","ac",21,"13",0.0952380952380952,0.636363636363636,0.393939393939394
"lepyear","ac",26,"13",0.133333333333333,0.787878787878788,0.393939393939394
"lepyear","ac",31,"13",0.152380952380952,0.939393939393939,0.393939393939394
"lepyear","sk",1,"13",0.247619047619048,0.0303030303030303,0.393939393939394
"lepyear","sk",6,"13",0.333333333333333,0.181818181818182,0.393939393939394
"lepyear","sk",11,"13",0.361904761904762,0.333333333333333,0.393939393939394
"lepyear","sk",16,"13",0.438095238095238,0.484848484848485,0.393939393939394
"lepyear","sk",21,"13",0.495238095238095,0.636363636363636,0.393939393939394
"lepyear","sk",26,"13",0.504761904761905,0.787878787878788,0.393939393939394
"lepyear","sk",31,"13",0.495238095238095,0.939393939393939,0.393939393939394
"lepyear","kt",1,"13",0.380952380952381,0.0303030303030303,0.393939393939394
"lepyear","kt",6,"13",0.561904761904762,0.181818181818182,0.393939393939394
"lepyear","kt",11,"13",0.476190476190476,0.333333333333333,0.393939393939394
"lepyear","kt",16,"13",0.504761904761905,0.484848484848485,0.393939393939394
"lepyear","kt",21,"13",0.495238095238095,0.636363636363636,0.393939393939394
"lepyear","kt",26,"13",0.495238095238095,0.787878787878788,0.393939393939394
"lepyear","kt",31,"13",0.476190476190476,0.939393939393939,0.393939393939394
"lepyear","sd",1,"18",-0.183333333333333,0.0303030303030303,0.545454545454545
"lepyear","sd",6,"18",-0.0833333333333333,0.181818181818182,0.545454545454545
"lepyear","sd",11,"18",-0.0666666666666667,0.333333333333333,0.545454545454545
"lepyear","sd",16,"18",-0.316666666666667,0.484848484848485,0.545454545454545
"lepyear","sd",21,"18",-0.3,0.636363636363636,0.545454545454545
"lepyear","sd",26,"18",-0.233333333333333,0.787878787878788,0.545454545454545
"lepyear","sd",31,"18",-0.2,0.939393939393939,0.545454545454545
"lepyear","ac",1,"18",0.05,0.0303030303030303,0.545454545454545
"lepyear","ac",6,"18",0.55,0.181818181818182,0.545454545454545
"lepyear","ac",11,"18",0.433333333333333,0.333333333333333,0.545454545454545
"lepyear","ac",16,"18",0.383333333333333,0.484848484848485,0.545454545454545
"lepyear","ac",21,"18",0.316666666666667,0.636363636363636,0.545454545454545
"lepyear","ac",26,"18",0.333333333333333,0.787878787878788,0.545454545454545
"lepyear","ac",31,"18",0.383333333333333,0.939393939393939,0.545454545454545
"lepyear","sk",1,"18",0.483333333333333,0.0303030303030303,0.545454545454545
"lepyear","sk",6,"18",0.383333333333333,0.181818181818182,0.545454545454545
"lepyear","sk",11,"18",0.4,0.333333333333333,0.545454545454545
"lepyear","sk",16,"18",0.55,0.484848484848485,0.545454545454545
"lepyear","sk",21,"18",0.533333333333333,0.636363636363636,0.545454545454545
"lepyear","sk",26,"18",0.533333333333333,0.787878787878788,0.545454545454545
"lepyear","sk",31,"18",0.55,0.939393939393939,0.545454545454545
"lepyear","kt",1,"18",0.416666666666667,0.0303030303030303,0.545454545454545
"lepyear","kt",6,"18",0.4,0.181818181818182,0.545454545454545
"lepyear","kt",11,"18",0.5,0.333333333333333,0.545454545454545
"lepyear","kt",16,"18",0.6,0.484848484848485,0.545454545454545
"lepyear","kt",21,"18",0.583333333333333,0.636363636363636,0.545454545454545
"lepyear","kt",26,"18",0.616666666666667,0.787878787878788,0.545454545454545
"lepyear","kt",31,"18",0.6,0.939393939393939,0.545454545454545
"lepyear","sd",1,"23",-0.490909090909091,0.0303030303030303,0.696969696969697
"lepyear","sd",6,"23",-0.309090909090909,0.181818181818182,0.696969696969697
"lepyear","sd",11,"23",-0.309090909090909,0.333333333333333,0.696969696969697
"lepyear","sd",16,"23",-0.236363636363636,0.484848484848485,0.696969696969697
"lepyear","sd",21,"23",-0.0545454545454545,0.636363636363636,0.696969696969697
"lepyear","sd",26,"23",0.127272727272727,0.787878787878788,0.696969696969697
"lepyear","sd",31,"23",0.272727272727273,0.939393939393939,0.696969696969697
"lepyear","ac",1,"23",-0.309090909090909,0.0303030303030303,0.696969696969697
"lepyear","ac",6,"23",0.636363636363636,0.181818181818182,0.696969696969697
"lepyear","ac",11,"23",0.781818181818182,0.333333333333333,0.696969696969697
"lepyear","ac",16,"23",0.745454545454545,0.484848484848485,0.696969696969697
"lepyear","ac",21,"23",0.709090909090909,0.636363636363636,0.696969696969697
"lepyear","ac",26,"23",0.745454545454545,0.787878787878788,0.696969696969697
"lepyear","ac",31,"23",0.745454545454545,0.939393939393939,0.696969696969697
"lepyear","sk",1,"23",0.672727272727273,0.0303030303030303,0.696969696969697
"lepyear","sk",6,"23",0.6,0.181818181818182,0.696969696969697
"lepyear","sk",11,"23",0.709090909090909,0.333333333333333,0.696969696969697
"lepyear","sk",16,"23",0.709090909090909,0.484848484848485,0.696969696969697
"lepyear","sk",21,"23",0.781818181818182,0.636363636363636,0.696969696969697
"lepyear","sk",26,"23",0.781818181818182,0.787878787878788,0.696969696969697
"lepyear","sk",31,"23",0.709090909090909,0.939393939393939,0.696969696969697
"lepyear","kt",1,"23",0.454545454545455,0.0303030303030303,0.696969696969697
"lepyear","kt",6,"23",0.490909090909091,0.181818181818182,0.696969696969697
"lepyear","kt",11,"23",0.563636363636364,0.333333333333333,0.696969696969697
"lepyear","kt",16,"23",0.563636363636364,0.484848484848485,0.696969696969697
"lepyear","kt",21,"23",0.563636363636364,0.636363636363636,0.696969696969697
"lepyear","kt",26,"23",0.527272727272727,0.787878787878788,0.696969696969697
"lepyear","kt",31,"23",0.418181818181818,0.939393939393939,0.696969696969697
