"var","li","bandyears","winyears","ktau","bandwith","window"
"ws6_flux_Ca","sd",2,"14",-0.579180509413068,0.0357142857142857,0.25
"ws6_flux_Ca","sd",7,"14",-0.563676633444075,0.125,0.25
"ws6_flux_Ca","sd",12,"14",-0.561461794019934,0.214285714285714,0.25
"ws6_flux_Ca","sd",17,"14",-0.621262458471761,0.303571428571429,0.25
"ws6_flux_Ca","sd",22,"14",-0.63233665559247,0.392857142857143,0.25
"ws6_flux_Ca","sd",27,"14",-0.634551495016611,0.482142857142857,0.25
"ws6_flux_Ca","sd",32,"14",-0.614617940199336,0.571428571428571,0.25
"ws6_flux_Ca","sd",37,"14",-0.601328903654485,0.660714285714286,0.25
"ws6_flux_Ca","sd",42,"14",-0.59468438538206,0.75,0.25
"ws6_flux_Ca","sd",47,"14",-0.588039867109635,0.839285714285714,0.25
"ws6_flux_Ca","sd",52,"14",-0.583610188261351,0.928571428571429,0.25
"ws6_flux_Ca","ac",2,"14",0.127353266888151,0.0357142857142857,0.25
"ws6_flux_Ca","ac",7,"14",0.29125138427464,0.125,0.25
"ws6_flux_Ca","ac",12,"14",0.136212624584718,0.214285714285714,0.25
"ws6_flux_Ca","ac",17,"14",-0.00332225913621262,0.303571428571429,0.25
"ws6_flux_Ca","ac",22,"14",-0.0897009966777409,0.392857142857143,0.25
"ws6_flux_Ca","ac",27,"14",-0.15171650055371,0.482142857142857,0.25
"ws6_flux_Ca","ac",32,"14",-0.198228128460687,0.571428571428571,0.25
"ws6_flux_Ca","ac",37,"14",-0.213732004429679,0.660714285714286,0.25
"ws6_flux_Ca","ac",42,"14",-0.198228128460687,0.75,0.25
"ws6_flux_Ca","ac",47,"14",-0.207087486157254,0.839285714285714,0.25
"ws6_flux_Ca","ac",52,"14",-0.204872646733112,0.928571428571429,0.25
"ws6_flux_Ca","sk",2,"14",-0.0697674418604651,0.0357142857142857,0.25
"ws6_flux_Ca","sk",7,"14",-0.720930232558139,0.125,0.25
"ws6_flux_Ca","sk",12,"14",-0.73421926910299,0.214285714285714,0.25
"ws6_flux_Ca","sk",17,"14",-0.714285714285714,0.303571428571429,0.25
"ws6_flux_Ca","sk",22,"14",-0.705426356589147,0.392857142857143,0.25
"ws6_flux_Ca","sk",27,"14",-0.687707641196013,0.482142857142857,0.25
"ws6_flux_Ca","sk",32,"14",-0.676633444075305,0.571428571428571,0.25
"ws6_flux_Ca","sk",37,"14",-0.663344407530454,0.660714285714286,0.25
"ws6_flux_Ca","sk",42,"14",-0.665559246954596,0.75,0.25
"ws6_flux_Ca","sk",47,"14",-0.661129568106312,0.839285714285714,0.25
"ws6_flux_Ca","sk",52,"14",-0.665559246954596,0.928571428571429,0.25
"ws6_flux_Ca","kt",2,"14",-0.171650055370986,0.0357142857142857,0.25
"ws6_flux_Ca","kt",7,"14",-0.373200442967885,0.125,0.25
"ws6_flux_Ca","kt",12,"14",-0.406423034330011,0.214285714285714,0.25
"ws6_flux_Ca","kt",17,"14",-0.413067552602436,0.303571428571429,0.25
"ws6_flux_Ca","kt",22,"14",-0.424141749723145,0.392857142857143,0.25
"ws6_flux_Ca","kt",27,"14",-0.421926910299003,0.482142857142857,0.25
"ws6_flux_Ca","kt",32,"14",-0.415282392026578,0.571428571428571,0.25
"ws6_flux_Ca","kt",37,"14",-0.401993355481728,0.660714285714286,0.25
"ws6_flux_Ca","kt",42,"14",-0.401993355481728,0.75,0.25
"ws6_flux_Ca","kt",47,"14",-0.397563676633444,0.839285714285714,0.25
"ws6_flux_Ca","kt",52,"14",-0.382059800664452,0.928571428571429,0.25
"ws6_flux_Ca","sd",2,"19",-0.687055476529161,0.0357142857142857,0.339285714285714
"ws6_flux_Ca","sd",7,"19",-0.61877667140825,0.125,0.339285714285714
"ws6_flux_Ca","sd",12,"19",-0.638691322901849,0.214285714285714,0.339285714285714
"ws6_flux_Ca","sd",17,"19",-0.669985775248933,0.303571428571429,0.339285714285714
"ws6_flux_Ca","sd",22,"19",-0.684210526315789,0.392857142857143,0.339285714285714
"ws6_flux_Ca","sd",27,"19",-0.681365576102418,0.482142857142857,0.339285714285714
"ws6_flux_Ca","sd",32,"19",-0.664295874822191,0.571428571428571,0.339285714285714
"ws6_flux_Ca","sd",37,"19",-0.652916073968705,0.660714285714286,0.339285714285714
"ws6_flux_Ca","sd",42,"19",-0.635846372688478,0.75,0.339285714285714
"ws6_flux_Ca","sd",47,"19",-0.635846372688478,0.839285714285714,0.339285714285714
"ws6_flux_Ca","sd",52,"19",-0.644381223328592,0.928571428571429,0.339285714285714
"ws6_flux_Ca","ac",2,"19",0.172119487908962,0.0357142857142857,0.339285714285714
"ws6_flux_Ca","ac",7,"19",0.39402560455192,0.125,0.339285714285714
"ws6_flux_Ca","ac",12,"19",-0.0184921763869132,0.214285714285714,0.339285714285714
"ws6_flux_Ca","ac",17,"19",-0.320056899004267,0.303571428571429,0.339285714285714
"ws6_flux_Ca","ac",22,"19",-0.391180654338549,0.392857142857143,0.339285714285714
"ws6_flux_Ca","ac",27,"19",-0.382645803698435,0.482142857142857,0.339285714285714
"ws6_flux_Ca","ac",32,"19",-0.385490753911806,0.571428571428571,0.339285714285714
"ws6_flux_Ca","ac",37,"19",-0.34850640113798,0.660714285714286,0.339285714285714
"ws6_flux_Ca","ac",42,"19",-0.331436699857752,0.75,0.339285714285714
"ws6_flux_Ca","ac",47,"19",-0.305832147937411,0.839285714285714,0.339285714285714
