"var","li","bandyears","winyears","ktau","bandwith","window"
"ws6_volwt_Ca","sd",2,"14",-0.729789590254707,0.0357142857142857,0.25
"ws6_volwt_Ca","sd",7,"14",-0.86046511627907,0.125,0.25
"ws6_volwt_Ca","sd",12,"14",-0.915836101882614,0.214285714285714,0.25
"ws6_volwt_Ca","sd",17,"14",-0.909191583610188,0.303571428571429,0.25
"ws6_volwt_Ca","sd",22,"14",-0.904761904761905,0.392857142857143,0.25
"ws6_volwt_Ca","sd",27,"14",-0.900332225913621,0.482142857142857,0.25
"ws6_volwt_Ca","sd",32,"14",-0.884828349944629,0.571428571428571,0.25
"ws6_volwt_Ca","sd",37,"14",-0.851605758582503,0.660714285714286,0.25
"ws6_volwt_Ca","sd",42,"14",-0.833887043189369,0.75,0.25
"ws6_volwt_Ca","sd",47,"14",-0.816168327796235,0.839285714285714,0.25
"ws6_volwt_Ca","sd",52,"14",-0.798449612403101,0.928571428571429,0.25
"ws6_volwt_Ca","ac",2,"14",-0.0321151716500554,0.0357142857142857,0.25
"ws6_volwt_Ca","ac",7,"14",-0.0365448504983389,0.125,0.25
"ws6_volwt_Ca","ac",12,"14",-0.178294573643411,0.214285714285714,0.25
"ws6_volwt_Ca","ac",17,"14",-0.269102990033223,0.303571428571429,0.25
"ws6_volwt_Ca","ac",22,"14",-0.297895902547065,0.392857142857143,0.25
"ws6_volwt_Ca","ac",27,"14",-0.331118493909192,0.482142857142857,0.25
"ws6_volwt_Ca","ac",32,"14",-0.344407530454042,0.571428571428571,0.25
"ws6_volwt_Ca","ac",37,"14",-0.346622369878184,0.660714285714286,0.25
"ws6_volwt_Ca","ac",42,"14",-0.373200442967885,0.75,0.25
"ws6_volwt_Ca","ac",47,"14",-0.353266888150609,0.839285714285714,0.25
"ws6_volwt_Ca","ac",52,"14",-0.32890365448505,0.928571428571429,0.25
"ws6_volwt_Ca","sk",2,"14",0.375415282392027,0.0357142857142857,0.25
"ws6_volwt_Ca","sk",7,"14",0.109634551495017,0.125,0.25
"ws6_volwt_Ca","sk",12,"14",0.0564784053156146,0.214285714285714,0.25
"ws6_volwt_Ca","sk",17,"14",0.109634551495017,0.303571428571429,0.25
"ws6_volwt_Ca","sk",22,"14",0.222591362126246,0.392857142857143,0.25
"ws6_volwt_Ca","sk",27,"14",0.269102990033223,0.482142857142857,0.25
"ws6_volwt_Ca","sk",32,"14",0.302325581395349,0.571428571428571,0.25
"ws6_volwt_Ca","sk",37,"14",0.357696566998893,0.660714285714286,0.25
"ws6_volwt_Ca","sk",42,"14",0.413067552602436,0.75,0.25
"ws6_volwt_Ca","sk",47,"14",0.446290143964563,0.839285714285714,0.25
"ws6_volwt_Ca","sk",52,"14",0.464008859357697,0.928571428571429,0.25
"ws6_volwt_Ca","kt",2,"14",0.266888150609081,0.0357142857142857,0.25
"ws6_volwt_Ca","kt",7,"14",0.370985603543743,0.125,0.25
"ws6_volwt_Ca","kt",12,"14",0.37984496124031,0.214285714285714,0.25
"ws6_volwt_Ca","kt",17,"14",0.375415282392027,0.303571428571429,0.25
"ws6_volwt_Ca","kt",22,"14",0.377630121816168,0.392857142857143,0.25
"ws6_volwt_Ca","kt",27,"14",0.377630121816168,0.482142857142857,0.25
"ws6_volwt_Ca","kt",32,"14",0.359911406423034,0.571428571428571,0.25
"ws6_volwt_Ca","kt",37,"14",0.368770764119601,0.660714285714286,0.25
"ws6_volwt_Ca","kt",42,"14",0.322259136212625,0.75,0.25
"ws6_volwt_Ca","kt",47,"14",0.255813953488372,0.839285714285714,0.25
"ws6_volwt_Ca","kt",52,"14",0.222591362126246,0.928571428571429,0.25
"ws6_volwt_Ca","sd",2,"19",-0.812233285917496,0.0357142857142857,0.339285714285714
"ws6_volwt_Ca","sd",7,"19",-0.883357041251778,0.125,0.339285714285714
"ws6_volwt_Ca","sd",12,"19",-0.928876244665718,0.214285714285714,0.339285714285714
"ws6_volwt_Ca","sd",17,"19",-0.917496443812233,0.303571428571429,0.339285714285714
"ws6_volwt_Ca","sd",22,"19",-0.917496443812233,0.392857142857143,0.339285714285714
"ws6_volwt_Ca","sd",27,"19",-0.926031294452347,0.482142857142857,0.339285714285714
"ws6_volwt_Ca","sd",32,"19",-0.906116642958748,0.571428571428571,0.339285714285714
"ws6_volwt_Ca","sd",37,"19",-0.88904694167852,0.660714285714286,0.339285714285714
"ws6_volwt_Ca","sd",42,"19",-0.852062588904694,0.75,0.339285714285714
"ws6_volwt_Ca","sd",47,"19",-0.84352773826458,0.839285714285714,0.339285714285714
"ws6_volwt_Ca","sd",52,"19",-0.829302987197724,0.928571428571429,0.339285714285714
"ws6_volwt_Ca","ac",2,"19",0.0640113798008535,0.0357142857142857,0.339285714285714
"ws6_volwt_Ca","ac",7,"19",-0.214793741109531,0.125,0.339285714285714
"ws6_volwt_Ca","ac",12,"19",-0.405405405405405,0.214285714285714,0.339285714285714
"ws6_volwt_Ca","ac",17,"19",-0.473684210526316,0.303571428571429,0.339285714285714
"ws6_volwt_Ca","ac",22,"19",-0.467994310099573,0.392857142857143,0.339285714285714
"ws6_volwt_Ca","ac",27,"19",-0.459459459459459,0.482142857142857,0.339285714285714
"ws6_volwt_Ca","ac",32,"19",-0.439544807965861,0.571428571428571,0.339285714285714
"ws6_volwt_Ca","ac",37,"19",-0.41678520625889,0.660714285714286,0.339285714285714
"ws6_volwt_Ca","ac",42,"19",-0.391180654338549,0.75,0.339285714285714
"ws6_volwt_Ca","ac",47,"19",-0.399715504978663,0.839285714285714,0.339285714285714
"ws6_volwt_Ca","ac",52,"19",-0.391180654338549,0.928571428571429,0.339285714285714
"ws6_volwt_Ca","sk",2,"19",0.41678520625889,0.0357142857142857,0.339285714285714
"ws6_volwt_Ca","sk",7,"19",0.174964438122333,0.125,0.339285714285714
"ws6_volwt_Ca","sk",12,"19",0.0128022759601707,0.214285714285714,0.339285714285714
"ws6_volwt_Ca","sk",17,"19",0.0810810810810811,0.303571428571429,0.339285714285714
"ws6_volwt_Ca","sk",22,"19",0.137980085348506,0.392857142857143,0.339285714285714
"ws6_volwt_Ca","sk",27,"19",0.189189189189189,0.482142857142857,0.339285714285714
"ws6_volwt_Ca","sk",32,"19",0.243243243243243,0.571428571428571,0.339285714285714
"ws6_volwt_Ca","sk",37,"19",0.266002844950213,0.660714285714286,0.339285714285714
"ws6_volwt_Ca","sk",42,"19",0.322901849217639,0.75,0.339285714285714
"ws6_volwt_Ca","sk",47,"19",0.376955903271693,0.839285714285714,0.339285714285714
"ws6_volwt_Ca","sk",52,"19",0.376955903271693,0.928571428571429,0.339285714285714
"ws6_volwt_Ca","kt",2,"19",0.251778093883357,0.0357142857142857,0.339285714285714
"ws6_volwt_Ca","kt",7,"19",0.291607396870555,0.125,0.339285714285714
"ws6_volwt_Ca","kt",12,"19",0.328591749644381,0.214285714285714,0.339285714285714
"ws6_volwt_Ca","kt",17,"19",0.34850640113798,0.303571428571429,0.339285714285714
"ws6_volwt_Ca","kt",22,"19",0.311522048364154,0.392857142857143,0.339285714285714
"ws6_volwt_Ca","kt",27,"19",0.300142247510669,0.482142857142857,0.339285714285714
"ws6_volwt_Ca","kt",32,"19",0.308677098150782,0.571428571428571,0.339285714285714
"ws6_volwt_Ca","kt",37,"19",0.379800853485064,0.660714285714286,0.339285714285714
"ws6_volwt_Ca","kt",42,"19",0.288762446657183,0.75,0.339285714285714
"ws6_volwt_Ca","kt",47,"19",0.240398293029872,0.839285714285714,0.339285714285714
"ws6_volwt_Ca","kt",52,"19",0.211948790896159,0.928571428571429,0.339285714285714
"ws6_volwt_Ca","sd",2,"24",-0.806818181818182,0.0357142857142857,0.428571428571429
"ws6_volwt_Ca","sd",7,"24",-0.875,0.125,0.428571428571429
"ws6_volwt_Ca","sd",12,"24",-0.946969696969697,0.214285714285714,0.428571428571429
"ws6_volwt_Ca","sd",17,"24",-0.943181818181818,0.303571428571429,0.428571428571429
"ws6_volwt_Ca","sd",22,"24",-0.939393939393939,0.392857142857143,0.428571428571429
"ws6_volwt_Ca","sd",27,"24",-0.924242424242424,0.482142857142857,0.428571428571429
"ws6_volwt_Ca","sd",32,"24",-0.897727272727272,0.571428571428571,0.428571428571429
"ws6_volwt_Ca","sd",37,"24",-0.856060606060606,0.660714285714286,0.428571428571429
"ws6_volwt_Ca","sd",42,"24",-0.856060606060606,0.75,0.428571428571429
"ws6_volwt_Ca","sd",47,"24",-0.848484848484848,0.839285714285714,0.428571428571429
"ws6_volwt_Ca","sd",52,"24",-0.852272727272727,0.928571428571429,0.428571428571429
"ws6_volwt_Ca","ac",2,"24",0.25,0.0357142857142857,0.428571428571429
"ws6_volwt_Ca","ac",7,"24",-0.242424242424242,0.125,0.428571428571429
"ws6_volwt_Ca","ac",12,"24",-0.46969696969697,0.214285714285714,0.428571428571429
"ws6_volwt_Ca","ac",17,"24",-0.564393939393939,0.303571428571429,0.428571428571429
"ws6_volwt_Ca","ac",22,"24",-0.583333333333333,0.392857142857143,0.428571428571429
"ws6_volwt_Ca","ac",27,"24",-0.564393939393939,0.482142857142857,0.428571428571429
"ws6_volwt_Ca","ac",32,"24",-0.541666666666667,0.571428571428571,0.428571428571429
"ws6_volwt_Ca","ac",37,"24",-0.56060606060606,0.660714285714286,0.428571428571429
"ws6_volwt_Ca","ac",42,"24",-0.568181818181818,0.75,0.428571428571429
"ws6_volwt_Ca","ac",47,"24",-0.553030303030303,0.839285714285714,0.428571428571429
"ws6_volwt_Ca","ac",52,"24",-0.537878787878788,0.928571428571429,0.428571428571429
"ws6_volwt_Ca","sk",2,"24",0.352272727272727,0.0357142857142857,0.428571428571429
"ws6_volwt_Ca","sk",7,"24",0.136363636363636,0.125,0.428571428571429
"ws6_volwt_Ca","sk",12,"24",-0.00378787878787879,0.214285714285714,0.428571428571429
"ws6_volwt_Ca","sk",17,"24",0,0.303571428571429,0.428571428571429
"ws6_volwt_Ca","sk",22,"24",-0.0340909090909091,0.392857142857143,0.428571428571429
"ws6_volwt_Ca","sk",27,"24",0.0340909090909091,0.482142857142857,0.428571428571429
"ws6_volwt_Ca","sk",32,"24",0.170454545454545,0.571428571428571,0.428571428571429
"ws6_volwt_Ca","sk",37,"24",0.238636363636364,0.660714285714286,0.428571428571429
"ws6_volwt_Ca","sk",42,"24",0.272727272727273,0.75,0.428571428571429
"ws6_volwt_Ca","sk",47,"24",0.310606060606061,0.839285714285714,0.428571428571429
"ws6_volwt_Ca","sk",52,"24",0.310606060606061,0.928571428571429,0.428571428571429
"ws6_volwt_Ca","kt",2,"24",0.0757575757575757,0.0357142857142857,0.428571428571429
"ws6_volwt_Ca","kt",7,"24",0.151515151515151,0.125,0.428571428571429
"ws6_volwt_Ca","kt",12,"24",0.109848484848485,0.214285714285714,0.428571428571429
"ws6_volwt_Ca","kt",17,"24",0.109848484848485,0.303571428571429,0.428571428571429
"ws6_volwt_Ca","kt",22,"24",0.117424242424242,0.392857142857143,0.428571428571429
"ws6_volwt_Ca","kt",27,"24",0.162878787878788,0.482142857142857,0.428571428571429
"ws6_volwt_Ca","kt",32,"24",0.185606060606061,0.571428571428571,0.428571428571429
"ws6_volwt_Ca","kt",37,"24",0.113636363636364,0.660714285714286,0.428571428571429
"ws6_volwt_Ca","kt",42,"24",0.231060606060606,0.75,0.428571428571429
"ws6_volwt_Ca","kt",47,"24",0.234848484848485,0.839285714285714,0.428571428571429
"ws6_volwt_Ca","kt",52,"24",0.242424242424242,0.928571428571429,0.428571428571429
"ws6_volwt_Ca","sd",2,"29",-0.957671957671958,0.0357142857142857,0.517857142857143
"ws6_volwt_Ca","sd",7,"29",-0.915343915343915,0.125,0.517857142857143
"ws6_volwt_Ca","sd",12,"29",-0.915343915343915,0.214285714285714,0.517857142857143
"ws6_volwt_Ca","sd",17,"29",-0.931216931216931,0.303571428571429,0.517857142857143
"ws6_volwt_Ca","sd",22,"29",-0.920634920634921,0.392857142857143,0.517857142857143
"ws6_volwt_Ca","sd",27,"29",-0.920634920634921,0.482142857142857,0.517857142857143
"ws6_volwt_Ca","sd",32,"29",-0.883597883597884,0.571428571428571,0.517857142857143
"ws6_volwt_Ca","sd",37,"29",-0.841269841269841,0.660714285714286,0.517857142857143
"ws6_volwt_Ca","sd",42,"29",-0.804232804232804,0.75,0.517857142857143
"ws6_volwt_Ca","sd",47,"29",-0.830687830687831,0.839285714285714,0.517857142857143
"ws6_volwt_Ca","sd",52,"29",-0.846560846560847,0.928571428571429,0.517857142857143
"ws6_volwt_Ca","ac",2,"29",0.126984126984127,0.0357142857142857,0.517857142857143
"ws6_volwt_Ca","ac",7,"29",-0.174603174603175,0.125,0.517857142857143
"ws6_volwt_Ca","ac",12,"29",-0.44973544973545,0.214285714285714,0.517857142857143
"ws6_volwt_Ca","ac",17,"29",-0.534391534391534,0.303571428571429,0.517857142857143
"ws6_volwt_Ca","ac",22,"29",-0.555555555555556,0.392857142857143,0.517857142857143
"ws6_volwt_Ca","ac",27,"29",-0.587301587301587,0.482142857142857,0.517857142857143
"ws6_volwt_Ca","ac",32,"29",-0.497354497354497,0.571428571428571,0.517857142857143
"ws6_volwt_Ca","ac",37,"29",-0.465608465608466,0.660714285714286,0.517857142857143
"ws6_volwt_Ca","ac",42,"29",-0.46031746031746,0.75,0.517857142857143
"ws6_volwt_Ca","ac",47,"29",-0.433862433862434,0.839285714285714,0.517857142857143
"ws6_volwt_Ca","ac",52,"29",-0.391534391534392,0.928571428571429,0.517857142857143
"ws6_volwt_Ca","sk",2,"29",0.301587301587302,0.0357142857142857,0.517857142857143
"ws6_volwt_Ca","sk",7,"29",0.243386243386243,0.125,0.517857142857143
"ws6_volwt_Ca","sk",12,"29",0.126984126984127,0.214285714285714,0.517857142857143
"ws6_volwt_Ca","sk",17,"29",0,0.303571428571429,0.517857142857143
"ws6_volwt_Ca","sk",22,"29",-0.0529100529100529,0.392857142857143,0.517857142857143
"ws6_volwt_Ca","sk",27,"29",-0.116402116402116,0.482142857142857,0.517857142857143
"ws6_volwt_Ca","sk",32,"29",-0.0634920634920635,0.571428571428571,0.517857142857143
"ws6_volwt_Ca","sk",37,"29",-0.116402116402116,0.660714285714286,0.517857142857143
"ws6_volwt_Ca","sk",42,"29",-0.00529100529100529,0.75,0.517857142857143
"ws6_volwt_Ca","sk",47,"29",0.0317460317460317,0.839285714285714,0.517857142857143
"ws6_volwt_Ca","sk",52,"29",0.0793650793650794,0.928571428571429,0.517857142857143
"ws6_volwt_Ca","kt",2,"29",0.111111111111111,0.0357142857142857,0.517857142857143
"ws6_volwt_Ca","kt",7,"29",0.0423280423280423,0.125,0.517857142857143
"ws6_volwt_Ca","kt",12,"29",0.037037037037037,0.214285714285714,0.517857142857143
"ws6_volwt_Ca","kt",17,"29",-0.037037037037037,0.303571428571429,0.517857142857143
"ws6_volwt_Ca","kt",22,"29",-0.185185185185185,0.392857142857143,0.517857142857143
"ws6_volwt_Ca","kt",27,"29",-0.232804232804233,0.482142857142857,0.517857142857143
"ws6_volwt_Ca","kt",32,"29",-0.238095238095238,0.571428571428571,0.517857142857143
"ws6_volwt_Ca","kt",37,"29",-0.206349206349206,0.660714285714286,0.517857142857143
"ws6_volwt_Ca","kt",42,"29",-0.0264550264550265,0.75,0.517857142857143
"ws6_volwt_Ca","kt",47,"29",0.0158730158730159,0.839285714285714,0.517857142857143
"ws6_volwt_Ca","kt",52,"29",0.0687830687830688,0.928571428571429,0.517857142857143
"ws6_volwt_Ca","sd",2,"34",-0.960474308300395,0.0357142857142857,0.607142857142857
"ws6_volwt_Ca","sd",7,"34",-0.984189723320158,0.125,0.607142857142857
"ws6_volwt_Ca","sd",12,"34",-0.976284584980237,0.214285714285714,0.607142857142857
"ws6_volwt_Ca","sd",17,"34",-0.984189723320158,0.303571428571429,0.607142857142857
